season,option,base_score,method,train_seasons,intercept,coef,x_thresholds,y_thresholds
2020,raw_mlp_normal,z_raw,normal,[2019],,,,
2020,best_posthoc_normal,z_best,normal,[2019],,,,
2020,constant14_normal,z_const14,normal,[2019],,,,
2020,logistic_raw_z,z_raw,logistic,[2019],-0.007409826325632942,0.3102446705142439,,
2020,isotonic_raw_z,z_raw,isotonic,[2019],,,"[-1.7406228872508678, -0.8694951162942692, -0.8556987930734774, -0.8259817837558959, -0.8239318297883852, -0.7355045042045685, -0.7299917537937116, -0.33988330217999474, -0.3395477370744213, -0.23868547748629032, -0.23865373757237887, -0.20730960376362112, -0.2073039519678619, -0.14422372762646835, -0.14408824212459767, -0.003564303102649519, -0.003492770983759329, -0.003029436658701411, -0.0029563294464527968, 0.3121507468369957, 0.3121659148092087, 0.5801365618895982, 0.5806169816469214, 0.5890603710242013, 0.5902956326802572, 2.3642685607596166, 4.888168823828976]","[0.21052631578947367, 0.21052631578947367, 0.25, 0.25, 0.4166666666666667, 0.4166666666666667, 0.44387755102040816, 0.44387755102040816, 0.465564738292011, 0.465564738292011, 0.47019867549668876, 0.47019867549668876, 0.49222797927461137, 0.49222797927461137, 0.49880478087649405, 0.49880478087649405, 0.5, 0.5, 0.5060565275908478, 0.5060565275908478, 0.5414937759336098, 0.5414937759336098, 0.5833333333333334, 0.5833333333333334, 0.6015037593984962, 0.6015037593984962, 0.999999]"
2020,logistic_best_posthoc_z,z_best,logistic,[2019],-0.007975773465004048,0.30673715994496914,,
2020,isotonic_best_posthoc_z,z_best,isotonic,[2019],,,"[-1.7406228872508678, -1.0285633514569026, -1.0090341554760565, -0.8259817837558959, -0.8239318297883852, -0.33988330217999474, -0.3395477370744213, -0.15427457757768592, -0.15416597946409938, -0.03316323607444935, -0.03302051905076737, -0.003564303102649519, -0.003492770983759329, 0.19058641532381548, 0.19080096154895235, 0.3121507468369957, 0.3121659148092087, 0.515421449890789, 0.5168237615601827, 0.5801365618895982, 0.5806169816469214, 0.793851235333611, 0.7949028377573909, 1.4346109557797473, 1.4539513514302074, 2.3642685607596166, 4.888168823828976]","[0.2222222222222222, 0.2222222222222222, 0.25, 0.25, 0.44444444444444453, 0.44444444444444453, 0.4723788049605411, 0.4723788049605411, 0.5015105740181268, 0.5015105740181268, 0.5037878787878788, 0.5037878787878788, 0.5071740486587647, 0.5071740486587647, 0.5109243697478993, 0.5109243697478993, 0.5235955056179776, 0.5235955056179776, 0.5263157894736842, 0.5263157894736842, 0.6122448979591838, 0.6122448979591838, 0.6226415094339621, 0.6226415094339621, 0.625, 0.625, 0.999999]"
2022,raw_mlp_normal,z_raw,normal,"[2019, 2020]",,,,
2022,best_posthoc_normal,z_best,normal,"[2019, 2020]",,,,
2022,constant14_normal,z_const14,normal,"[2019, 2020]",,,,
2022,logistic_raw_z,z_raw,logistic,"[2019, 2020]",0.0025211025952875943,0.30638231537440674,,
2022,isotonic_raw_z,z_raw,isotonic,"[2019, 2020]",,,"[-1.7406228872508678, -0.9060406446050322, -0.9036809671172092, -0.8259817837558959, -0.8239318297883852, -0.7355045042045685, -0.7299917537937116, -0.3413839672361998, -0.3402791313113123, -0.236977238208307, -0.23687581294411683, -0.20560251871744792, -0.20547608317429447, -0.1096261334328089, -0.10955855051676432, 0.27612631162805695, 0.27616467900317787, 0.5801365618895982, 0.5806169816469214, 0.6121579602966407, 0.613575246078107, 1.4346109557797473, 1.4539513514302074, 2.3642685607596166, 4.888168823828976]","[0.15789473684210525, 0.15789473684210525, 0.16666666666666666, 0.16666666666666666, 0.38461538461538464, 0.38461538461538464, 0.451685393258427, 0.451685393258427, 0.4580896686159844, 0.4580896686159844, 0.4644194756554308, 0.4644194756554308, 0.48814814814814805, 0.48814814814814805, 0.507511337868481, 0.507511337868481, 0.5307881773399014, 0.5307881773399014, 0.56, 0.56, 0.5987654320987654, 0.5987654320987654, 0.6923076923076923, 0.6923076923076923, 0.999999]"
2022,logistic_best_posthoc_z,z_best,logistic,"[2019, 2020]",0.0016762500654387107,0.30446443627383507,,
