season,option,base_score,calibration_method,cover_logloss,cover_brier,pick_prob_mean,pick_prob_std,pick_prob_edge_mean,prob80_n,prob80_winrate,prob80_roi,prob85_n,prob85_winrate,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob,top100_overlap_vs_raw,top100_churn_vs_raw,top100_overlap_vs_best,top100_churn_vs_best,top200_overlap_vs_raw,top200_churn_vs_raw,top200_overlap_vs_best,top200_churn_vs_best,top500_overlap_vs_raw,top500_churn_vs_raw,top500_overlap_vs_best,top500_churn_vs_best
2020,raw_mlp_normal,z_raw,normal,0.6964539777479475,0.25157458639959085,0.5479983663737346,0.05269410791402852,0.024188842564210725,52,0.84,0.5804195804195804,29,0.8275862068965517,0.5799373040752349,319,0.1054431461954973,146,0.23723536737235365,0.3663636363636363,0.7216494845360825,0.8131013129094136,0.14681818181818182,0.6030927835051546,0.7442140529052917,0.0969090909090909,0.5758196721311475,0.6705346685821548,100,0,87,26,200,0,167,66,500,0,410,180
2020,best_posthoc_normal,z_best,normal,0.7006893902289207,0.2535126626090018,0.5633021657156113,0.06433947356136907,0.03949264190608743,77,0.8082191780821918,0.5147579693034238,54,0.8490566037735849,0.6094276094276094,609,0.11076280041797283,269,0.1757350456235215,0.43363636363636354,0.7604166666666666,0.8662955787291828,0.2468181818181818,0.6564102564102564,0.7978924703757574,0.0967272727272727,0.5755102040816327,0.7149719559468387,87,26,100,0,167,66,200,0,410,180,500,0
2020,constant14_normal,z_const14,normal,0.7044903085142165,0.25512177205978026,0.5721669292788264,0.07140660078645128,0.04835740546930253,104,0.74,0.39685314685314677,69,0.8461538461538461,0.579710144927536,830,0.06714129244249727,401,0.13171616413511675,0.4145454545454544,0.75,0.8935530515486358,0.23727272727272727,0.6512820512820513,0.8279925808158451,0.11581818181818183,0.5857142857142857,0.7424415560717469,78,44,91,18,153,94,186,28,368,264,457,86
2020,logistic_raw_z,z_raw,logistic,0.6919727291192825,0.24941961277212876,0.5095005569031794,0.011770211679709474,-0.014308966906344445,0,,,0,,,6,0.5909090909090909,0,,0.3663636363636363,0.7216494845360825,0.5717474778733519,0.14681818181818182,0.6030927835051546,0.5532872049437055,0.10072727272727273,0.5778688524590164,0.5355326053427206,100,0,87,26,200,0,167,66,499,2,411,178
2020,isotonic_raw_z,z_raw,isotonic,0.6911720030482448,0.24907819630315342,0.5093733763440847,0.02107948188264302,-0.014436147465438953,12,1.0,0.9090909090909088,0,,,12,0.9090909090909088,12,0.9090909090909088,0.3181818181818181,0.6938775510204082,0.6178888618657963,0.15227272727272725,0.6073298429319371,0.5860436675741196,0.09309090909090909,0.5737704918032787,0.5526338286847873,89,22,78,44,109,182,104,192,409,182,359,282
2020,logistic_best_posthoc_z,z_best,logistic,0.6914035288782417,0.2491560509203943,0.5156020299654465,0.01864804265045634,-0.008207493844077436,0,,,0,,,31,0.7859237536656893,9,0.6969696969696969,0.43363636363636354,0.7604166666666666,0.6120159600776808,0.2468181818181818,0.6564102564102564,0.5846218516809603,0.10054545454545454,0.5775510204081633,0.557037077881936,87,26,100,0,168,64,198,4,408,184,491,18
2020,isotonic_best_posthoc_z,z_best,isotonic,0.6902272546738316,0.24864634412015024,0.5181181644214404,0.03164172339830102,-0.00569135938808338,6,0.8333333333333334,0.5909090909090909,5,1.0,0.909090909090909,140,0.30389610389610383,31,0.7272727272727274,0.3672727272727272,0.7263157894736842,0.6750177786452912,0.22772727272727272,0.6461538461538462,0.6362474777410339,0.11418181818181819,0.5852156057494866,0.5906660292336412,81,38,79,42,167,66,188,24,404,192,419,162
2022,raw_mlp_normal,z_raw,normal,0.7065297877002302,0.2553749288374821,0.588239998966656,0.07980446902508931,0.06443047515713214,144,0.6805555555555556,0.29924242424242425,99,0.7171717171717171,0.36914600550964183,1301,0.07791209559080428,618,0.12224183583406885,0.3745454545454545,0.72,0.9165943506408906,0.2509090909090909,0.6565656565656566,0.8599700339879429,0.13109090909090912,0.5938775510204082,0.7791404831036527,100,0,88,24,200,0,178,44,500,0,448,104
2022,best_posthoc_normal,z_best,normal,0.7008136150048869,0.25312205539594856,0.5759754399262783,0.07226877801257528,0.05216591611675455,121,0.7107438016528925,0.35687453042824935,69,0.7536231884057971,0.43873517786561256,947,0.08649323221656907,431,0.1524994726850875,0.3745454545454545,0.72,0.890079967056749,0.22681818181818175,0.6432160804020101,0.833319992152318,0.1349090909090909,0.5959183673469388,0.7504164686208236,88,24,100,0,178,44,200,0,448,104,500,0
2022,constant14_normal,z_const14,normal,0.6998067047274239,0.25265409228939384,0.5728788590853776,0.07053550756545317,0.04906933527585378,113,0.7168141592920354,0.36846339501206754,65,0.7538461538461538,0.4391608391608392,864,0.09785353535353536,393,0.17881101087207957,0.37454545454545446,0.72,0.8837936759195312,0.22227272727272726,0.6414141414141414,0.8267989115032996,0.12527272727272726,0.5906313645621182,0.7436613079433131,84,32,96,8,174,52,196,8,434,132,486,28
2022,logistic_raw_z,z_raw,logistic,0.6901034660541945,0.24851866201505646,0.5223284080289422,0.023893459366762203,-0.0014811157805816016,1,1.0,0.9090909090909091,0,,,54,0.5202020202020202,17,0.6844919786096256,0.3363636363636363,0.7,0.6386742388766459,0.24136363636363634,0.6515151515151515,0.6098418803707034,0.12727272727272726,0.5918367346938775,0.5781537441497644,98,4,88,24,196,8,178,44,476,48,448,104
2022,isotonic_raw_z,z_raw,isotonic,0.6899192265916307,0.24837500430248333,0.5249231052756111,0.047882268871150685,0.0011135814660872645,80,0.775,0.4795454545454545,56,0.8035714285714286,0.5340909090909091,82,0.44345898004434586,80,0.4795454545454545,0.4318181818181817,0.75,0.8117724126511595,0.24136363636363636,0.6515151515151515,0.7174246678640412,0.12345454545454544,0.5897959183673469,0.6221651162495845,69,62,72,56,169,62,162,76,344,312,351,298
2022,logistic_best_posthoc_z,z_best,logistic,0.6901664208963239,0.2485437774737696,0.5210085251798809,0.02291006730322153,-0.0028009986296428494,1,1.0,0.9090909090909091,0,,,51,0.4224598930481284,13,0.9090909090909088,0.37454545454545446,0.72,0.6335921436165954,0.21727272727272726,0.6381909547738693,0.6066574690235772,0.11963636363636364,0.5877551020408164,0.5748773571231123,89,22,99,2,180,40,193,14,445,110,481,38
2022,isotonic_best_posthoc_z,z_best,isotonic,0.6894621462407197,0.24823460198209424,0.5208996296307686,0.047861346142777296,-0.0029098941787551714,61,0.7704918032786885,0.47093889716840537,32,0.9375,0.7897727272727273,138,0.3280632411067193,70,0.4999999999999999,0.3745454545454545,0.72,0.802819160612962,0.2559090909090909,0.6598984771573604,0.702476965151046,0.12163636363636363,0.588957055214724,0.6193066968534994,71,58,76,48,150,100,154,92,361,278,376,248
2023,raw_mlp_normal,z_raw,normal,0.7086531437935539,0.25684839123472425,0.581972569222747,0.071755745943932,0.05816304541322312,106,0.6792452830188679,0.2967409948542024,55,0.7454545454545455,0.4231404958677686,1234,0.028068365993811698,580,0.13401253918495296,0.2981818181818181,0.68,0.8655756442655147,0.16454545454545452,0.61,0.8201328968516073,0.10163636363636362,0.5771543086172345,0.7535813833271083,100,0,82,36,200,0,170,60,500,0,424,152
2023,best_posthoc_normal,z_best,normal,0.7035065548298419,0.25462606345589484,0.5717104668669672,0.06662789332222177,0.04790094305744344,82,0.6829268292682927,0.3037694013303769,45,0.7777777777777778,0.4848484848484849,920,0.07598814229249011,408,0.11140819964349376,0.29818181818181816,0.68,0.855314957907239,0.23636363636363636,0.6482412060301508,0.8044166736649562,0.12072727272727272,0.5871743486973948,0.7340091152105738,82,36,100,0,170,60,200,0,424,152,500,0
2023,constant14_normal,z_const14,normal,0.7026510974816403,0.25418875511469674,0.569295029654733,0.0661492257200091,0.04548550584520919,80,0.7125,0.36022727272727273,50,0.78,0.4890909090909091,853,0.0732175210487051,380,0.14306220095693778,0.3081818181818181,0.6868686868686869,0.8585803566187471,0.2268181818181818,0.6432160804020101,0.8048062529644437,0.11309090909090908,0.5831663326653307,0.7316757738034757,73,54,91,18,161,78,190,20,401,198,476,48
2023,logistic_raw_z,z_raw,logistic,0.6922844657728885,0.2495869132521405,0.5231350952220444,0.022719938401628344,-0.0006744285874794052,1,1.0,0.9090909090909091,1,1.0,0.9090909090909091,30,0.27272727272727265,3,0.9090909090909091,0.2790909090909091,0.67,0.6212305789578935,0.15499999999999997,0.605,0.6013078605696726,0.10163636363636364,0.5771543086172345,0.5764930034935001,91,18,85,30,188,24,167,66,441,118,415,170
2023,isotonic_raw_z,z_raw,isotonic,0.6937582951908735,0.2501252177680958,0.5209526091940563,0.032159768604747146,-0.002856914615467556,15,0.6,0.14545454545454545,5,0.4,-0.2363636363636364,48,0.15340909090909088,33,0.2727272727272727,0.1645454545454545,0.61,0.666069050656956,0.1836363636363636,0.62,0.6226747936553623,0.06727272727272728,0.5591182364729459,0.5866277306241784,76,48,71,58,151,98,153,94,383,234,369,262
2023,logistic_best_posthoc_z,z_best,logistic,0.6919551052581936,0.24943318436433543,0.5223842426972429,0.023659044310138037,-0.001425281112281017,2,1.0,0.9090909090909091,2,1.0,0.9090909090909091,43,0.5095137420718816,10,0.5272727272727272,0.3172727272727272,0.69,0.631285796264538,0.21727272727272726,0.6381909547738693,0.6063814116830005,0.10545454545454547,0.5791583166332666,0.5779528822521564,80,40,94,12,167,66,186,28,413,174,439,122
2023,isotonic_best_posthoc_z,z_best,isotonic,0.6990284829137685,0.25004374223553516,0.517572570875121,0.036512637402328595,-0.006236952934402889,15,0.8,0.5272727272727271,15,0.8,0.5272727272727271,80,0.28863636363636364,29,0.18495297805642633,0.18363636363636363,0.62,0.702303433433471,0.12181818181818181,0.5879396984924623,0.6500196412450373,0.03672727272727273,0.5430861723446894,0.5969523252661643,67,66,80,40,128,144,132,136,274,452,278,444
2024,raw_mlp_normal,z_raw,normal,0.7206093490531114,0.2615881122123564,0.5868253829596645,0.07382291959512066,0.0630158591501406,98,0.4489795918367347,-0.14285714285714288,49,0.5306122448979592,0.012987012987012983,1290,-0.029175475687103585,615,-0.015964523281596456,-0.12181818181818184,0.46,0.861143447486002,-0.0168181818181818,0.515,0.8173508034984411,-0.030181818181818174,0.508,0.7550522413912586,100,0,80,40,200,0,170,60,500,0,438,124
2024,best_posthoc_normal,z_best,normal,0.7131409393409242,0.2585411710379253,0.5732278534824288,0.06558638741353555,0.049418329672905,74,0.5405405405405406,0.031941031941031935,33,0.5151515151515151,-0.016528925619834718,901,-0.031681969528806364,389,-0.057723767235335344,-0.02636363636363635,0.51,0.8354102672338566,-0.08363636363636363,0.48,0.7905694621432986,-0.03781818181818181,0.504,0.7258217593225491,80,40,100,0,170,60,200,0,438,124,500,0
2024,constant14_normal,z_const14,normal,0.71195856503939,0.25796073587659185,0.5700378962412617,0.06413555092315461,0.04622837243173784,70,0.5142857142857142,-0.018181818181818177,30,0.5666666666666667,0.08181818181818182,802,-0.03831330763999092,347,-0.05920880272465286,-0.06454545454545454,0.49,0.8329696587299451,-0.08363636363636363,0.48,0.7866702191656663,-0.030181818181818174,0.508,0.7200683141554568,75,50,95,10,161,78,189,22,420,160,482,36
2024,logistic_raw_z,z_raw,logistic,0.6943440923413937,0.2505883917302087,0.522671878427731,0.021012976906858483,-0.001137645381792908,0,,,0,,,22,-0.13223140495867766,3,0.2727272727272727,-0.12181818181818185,0.46,0.6108040293617417,-0.0168181818181818,0.515,0.5928544404304241,-0.03018181818181817,0.508,0.5709813789972598,99,2,80,40,200,0,170,60,497,6,440,120
2024,isotonic_raw_z,z_raw,isotonic,0.6949671270391019,0.2508446929087809,0.5195411404043752,0.030320801615922818,-0.004268383405148705,7,0.7142857142857143,0.36363636363636365,0,,,103,-0.12886142983230364,29,0.18495297805642633,-0.12181818181818181,0.46,0.6694624320368147,-0.045454545454545456,0.5,0.6270932841304109,-0.06836363636363635,0.488,0.5886292467559519,97,6,78,44,168,64,154,92,368,264,361,278
2024,logistic_best_posthoc_z,z_best,logistic,0.6943206509895908,0.25057170141514484,0.5215654503073714,0.02081106739892187,-0.0022440735021524534,0,,,0,,,21,0.1818181818181818,2,-0.04545454545454547,-0.02636363636363635,0.51,0.6123614670303578,-0.09318181818181817,0.475,0.5936609019422043,-0.03781818181818181,0.504,0.5698978927315638,80,40,100,0,170,60,199,2,438,124,500,0
