season,option,base_score,method,train_seasons,intercept,coef,x_thresholds,y_thresholds
2020,raw_mlp_normal,z_raw,normal,[2019],,,,
2020,best_posthoc_normal,z_best,normal,[2019],,,,
2020,constant14_normal,z_const14,normal,[2019],,,,
2020,logistic_raw_z,z_raw,logistic,[2019],7.999501762469448e-05,0.30649401048178576,,
2020,isotonic_raw_z,z_raw,isotonic,[2019],,,"[-1.7406228872508678, -0.8246438636641276, -0.8239318297883852, -0.2578302988161099, -0.25770873017890733, -0.24726337792507752, -0.24702867537451217, -0.20023085400198637, -0.20018845094462198, -0.19986088648885722, -0.19984132756778505, -0.18626876028248146, -0.18602310434309882, -0.0005232830368894421, -0.000489113388898758, 0.11948048635239795, 0.1194970047073841, 0.20510162116208233, 0.20549362123257867, 0.3121507468369957, 0.3121659148092087, 0.41171967848071367, 0.4117373976659607, 0.5801365618895982, 0.5806169816469214, 2.3642685607596166, 4.888168823828976]","[0.19047619047619047, 0.19047619047619047, 0.44580152671755724, 0.44580152671755724, 0.4827586206896552, 0.4827586206896552, 0.48387096774193544, 0.48387096774193544, 0.5, 0.5, 0.5000000000000001, 0.5000000000000001, 0.5013368983957223, 0.5013368983957223, 0.5100788781770376, 0.5100788781770376, 0.5109243697478992, 0.5109243697478992, 0.5118110236220471, 0.5118110236220471, 0.5232558139534883, 0.5232558139534883, 0.5446428571428572, 0.5446428571428572, 0.5971223021582733, 0.5971223021582733, 0.999999]"
2020,logistic_best_posthoc_z,z_best,logistic,[2019],-0.0013272968709869756,0.3765027175920892,,
2020,isotonic_best_posthoc_z,z_best,isotonic,[2019],,,"[-1.2790893788514162, -0.8647096981188991, -0.8242727344722488, -0.7817134468192276, -0.7808322768991786, -0.5643301041035277, -0.5617712957225794, -0.38258337728123715, -0.38168141519184284, -0.30421497744378345, -0.30420665937273833, -0.2991180118413531, -0.2982198439209172, -0.16666600626317715, -0.16645339473439852, -0.1334815695108375, -0.133324772225709, -0.1317512170402071, -0.13161504238931165, -0.0770954167463738, -0.07706026464820448, -0.0010175948336461316, -0.0008792608051471491, 0.11652163645386589, 0.1166893419876213, 0.356322708927946, 0.35653698999125144, 0.38777761641449654, 0.3883008546303239, 0.3938749779942992, 0.3940410911421407, 0.49071236850653965, 0.4960169577302307, 0.5883141419946456, 0.5887670271558618, 1.5685681460406586, 2.8723042019057656]","[0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.4074074074074074, 0.4074074074074074, 0.4322033898305085, 0.4322033898305085, 0.4358974358974359, 0.4358974358974359, 0.4444444444444444, 0.4444444444444444, 0.46774193548387094, 0.46774193548387094, 0.47773279352226716, 0.47773279352226716, 0.5, 0.5, 0.5029354207436398, 0.5029354207436398, 0.5037593984962404, 0.5037593984962404, 0.5097719869706838, 0.5097719869706838, 0.5152207001522072, 0.5152207001522072, 0.53125, 0.53125, 0.5454545454545454, 0.5454545454545454, 0.5478260869565218, 0.5478260869565218, 0.5714285714285714, 0.5714285714285714, 0.625, 0.625, 0.999999]"
2022,raw_mlp_normal,z_raw,normal,"[2019, 2020]",,,,
2022,best_posthoc_normal,z_best,normal,"[2019, 2020]",,,,
2022,constant14_normal,z_const14,normal,"[2019, 2020]",,,,
2022,logistic_raw_z,z_raw,logistic,"[2019, 2020]",0.008382561081829151,0.37835509153657715,,
2022,isotonic_raw_z,z_raw,isotonic,"[2019, 2020]",,,"[-1.7406228872508678, -0.8246438636641276, -0.8239318297883852, -0.7355045042045685, -0.7299917537937116, -0.2557973265856756, -0.25576899545813553, -0.23720266129089426, -0.23708711186393003, -0.20023085400198637, -0.20018845094462198, -0.1096261334328089, -0.10955855051676432, 0.2358257610308082, 0.23621845653630066, 0.3208301928340384, 0.32096879479607787, 0.41171967848071367, 0.4117373976659607, 0.5801365618895982, 0.5806169816469214, 0.6641967233071902, 0.6662964949237271, 1.386092415359676, 1.39366780392162, 2.3642685607596166, 4.888168823828976]","[0.12121212121212122, 0.12121212121212122, 0.42857142857142855, 0.42857142857142855, 0.4484472049689441, 0.4484472049689441, 0.45714285714285713, 0.45714285714285713, 0.47435897435897434, 0.47435897435897434, 0.48722044728434505, 0.48722044728434505, 0.510038382049011, 0.510038382049011, 0.5217391304347826, 0.5217391304347826, 0.5280528052805281, 0.5280528052805281, 0.5373665480427047, 0.5373665480427047, 0.5555555555555556, 0.5555555555555556, 0.6230769230769231, 0.6230769230769231, 0.8095238095238095, 0.8095238095238095, 0.999999]"
2022,logistic_best_posthoc_z,z_best,logistic,"[2019, 2020]",0.006790598681492593,0.4188486613401615,,
