gameId,awayTeam,homeTeam,market_spread_home,model_mu_home,old_mu_home,abs_market_gap,abs_ats_edge,mu_delta_vs_old,pick_side,pick_prob_edge,pred_sigma,pred_home_win_prob
372366,Iowa State,Texas Tech,5.5,2.880857,-4.465419,8.380856990814209,8.380856990814209,7.346276,HOME,0.20699458597433606,13.621944,0.38976005
372375,Northwestern,Purdue,-11.75,4.0421057,6.6754875,7.707894325256348,7.707894325256348,-2.6333818,AWAY,0.20006127400231888,12.967971,0.5755471
372260,South Carolina State,Norfolk State,-7.75,1.8423791,6.5551853,5.907620906829834,5.907620906829834,-4.712806,AWAY,0.1746377911329169,11.36212,0.6935868
372312,Creighton,Seton Hall,-2.75,-3.1520226,-1.310102,5.90202260017395,5.90202260017395,-1.8419206,AWAY,0.17667829006393998,11.224757,0.49133006
372261,Maryland Eastern Shore,North Carolina Central,-1.5,-4.2776594,-1.2258931,5.7776594161987305,5.7776594161987305,-3.0517664,AWAY,0.16587461815797766,11.673095,0.48098412
372392,UC Davis,Cal State Fullerton,1.5,3.8273888,0.0106419325,5.327388763427734,5.327388763427734,3.8167467,HOME,0.1346078588125844,13.0526,0.47117084
372380,Tulane,Charlotte,-1.25,5.705319,0.7826997,4.455318927764893,4.455318927764893,4.9226193,HOME,0.12780700323640992,11.433028,0.60141474
372313,Buffalo,Akron,-14.25,9.805821,11.070764,4.444178581237793,4.444178581237793,-1.2649422,AWAY,0.13444017790326568,10.900852,0.8756225
372363,NC State,Virginia,-6.5,9.203238,5.6777678,2.703237533569336,2.703237533569336,3.5254698,HOME,0.06583627310439255,11.927771,0.6670533
372258,Massachusetts,Miami (OH),-7.75,6.3200235,9.93084,1.429976463317871,1.429976463317871,-3.610816,AWAY,0.021524607534671003,12.556706,0.8692342
372374,Nevada,Grand Canyon,-3.5,4.7684126,-0.6001388,1.2684125900268555,1.2684125900268555,5.3685513,HOME,0.019498237201707957,11.66136,0.57103354
372371,UCF,Arizona,,13.839727,8.857483,,,4.9822445,AWAY,,11.02497,0.8315363
