awayConference,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeScore,homeTeam_x,homeTeamId_x,season,seasonType,startDate_x,source_key,source_asof,provider,spread,overUnder,homeMoneyline,awayMoneyline,spreadOpen,overUnderOpen,startDate_y,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,spread_sign_for_votes,action,confidence,repair_reason,majority_sign_sum,peer_same_sign_count,peer_opposite_sign_count,non_consensus_same_sign_count,non_consensus_opposite_sign_count,original_spread,repaired_spread,original_spreadOpen,repaired_spreadOpen
Patriot,74.0,American University,8,209753,ACC,88.0,Wake Forest,342,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-19.5,139.5,,,-21.5,137.5,2025-11-04T01:00:00.000Z,Wake Forest,American University,342,8,-1.0,keep,none,,-1.0,0,0,0,0,-19.5,-19.5,-21.5,-21.5
Am. East,47.0,Binghamton,24,209754,ACC,85.0,Syracuse,286,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-21.5,153.5,,,-20.5,150.5,2025-11-04T00:00:00.000Z,Syracuse,Binghamton,286,24,-1.0,keep,none,,-1.0,0,0,0,0,-21.5,-21.5,-20.5,-20.5
WAC,76.0,Tarleton State,288,209755,ACC,96.0,SMU,248,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-21.5,144.5,,,-20.5,142.5,2025-11-04T01:00:00.000Z,SMU,Tarleton State,248,288,-1.0,keep,none,,-1.0,0,0,0,0,-21.5,-21.5,-20.5,-20.5
Horizon,59.0,Youngstown State,361,209756,ACC,74.0,Pittsburgh,229,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-14.5,145.5,,,-13.5,149.5,2025-11-04T00:00:00.000Z,Pittsburgh,Youngstown State,229,361,-1.0,keep,none,,-1.0,0,0,0,0,-14.5,-14.5,-13.5,-13.5
ASUN,54.0,Central Arkansas,43,209757,ACC,94.0,North Carolina,200,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-31.5,157.5,,,-33.5,156.5,2025-11-04T00:00:00.000Z,North Carolina,Central Arkansas,200,43,-1.0,keep,none,,-1.0,0,0,0,0,-31.5,-31.5,-33.5,-33.5
MEAC,66.0,North Carolina Central,199,209758,ACC,114.0,NC State,185,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-31.5,145.5,,,-30.5,147.5,2025-11-04T00:00:00.000Z,NC State,North Carolina Central,185,199,-1.0,keep,none,,-1.0,0,0,0,0,-31.5,-31.5,-30.5,-30.5
MEAC,45.0,South Carolina State,267,209759,ACC,104.0,Louisville,150,2026,regular,2025-11-04T02:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-35.5,159.5,,,-34.5,157.5,2025-11-04T02:00:00.000Z,Louisville,South Carolina State,150,267,-1.0,keep,none,,-1.0,0,0,0,0,-35.5,-35.5,-34.5,-34.5
Big West,60.0,Cal State Bakersfield,36,209760,ACC,87.0,California,40,2026,regular,2025-11-04T03:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-15.5,146.5,,,-14.5,145.5,2025-11-04T03:00:00.000Z,California,Cal State Bakersfield,40,36,-1.0,keep,none,,-1.0,0,0,0,0,-15.5,-15.5,-14.5,-14.5
ACC,78.0,Boston College,26,209761,American,83.0,Florida Atlantic,86,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-1.5,148.5,,,-1.5,149.5,2025-11-04T00:00:00.000Z,Florida Atlantic,Boston College,86,26,,keep,none,,0.0,0,0,0,0,-1.5,-1.5,-1.5,-1.5
OVC,67.0,Southeast Missouri State,272,209762,A-10,92.0,Saint Louis,252,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-19.5,153.5,,,-17.5,149.5,2025-11-04T01:00:00.000Z,Saint Louis,Southeast Missouri State,252,272,-1.0,keep,none,,-1.0,0,0,0,0,-19.5,-19.5,-17.5,-17.5
ASUN,62.0,Stetson,283,209763,A-10,93.0,Rhode Island,240,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-18.5,152.5,,,-16.5,152.5,2025-11-04T00:00:00.000Z,Rhode Island,Stetson,240,283,-1.0,keep,none,,-1.0,0,0,0,0,-18.5,-18.5,-16.5,-16.5
Horizon,88.0,Cleveland State,53,209764,A-10,91.0,Loyola Chicago,151,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-17.5,151.5,,,-15.5,148.5,2025-11-04T01:00:00.000Z,Loyola Chicago,Cleveland State,151,53,-1.0,keep,none,,-1.0,0,0,0,0,-17.5,-17.5,-15.5,-15.5
Am. East,47.0,Maine,154,209765,A-10,67.0,George Washington,96,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-20.5,144.5,,,-20.5,145.5,2025-11-04T01:00:00.000Z,George Washington,Maine,96,154,-1.0,keep,none,,-1.0,0,0,0,0,-20.5,-20.5,-20.5,-20.5
Big Sky,74.0,Eastern Washington,80,209766,Big Ten,80.0,UCLA,313,2026,regular,2025-11-04T03:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-29.5,149.5,,,-30.5,147.5,2025-11-04T03:30:00.000Z,UCLA,Eastern Washington,313,80,-1.0,keep,none,,-1.0,0,0,0,0,-29.5,-29.5,-30.5,-30.5
MAAC,63.0,Niagara,194,209767,A-10,83.0,Duquesne,73,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-17.5,139.5,,,-14.5,139.5,2025-11-04T00:00:00.000Z,Duquesne,Niagara,73,194,-1.0,keep,none,,-1.0,0,0,0,0,-17.5,-17.5,-14.5,-14.5
MAAC,48.0,Canisius,42,209768,A-10,88.0,Dayton,64,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-25.5,142.5,,,-24.5,143.5,2025-11-04T00:00:00.000Z,Dayton,Canisius,64,42,-1.0,keep,none,,-1.0,0,0,0,0,-25.5,-25.5,-24.5,-24.5
MAAC,62.0,Marist,156,209769,Big East,66.0,Xavier,359,2026,regular,2025-11-04T00:15:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-12.5,139.5,,,-11.5,139.5,2025-11-04T00:15:00.000Z,Xavier,Marist,359,156,-1.0,keep,none,,-1.0,0,0,0,0,-12.5,-12.5,-11.5,-11.5
MEAC,70.0,Morgan State,182,209770,Big East,87.0,Georgetown,97,2026,regular,2025-11-03T23:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-27.5,154.5,,,-24.5,154.5,2025-11-03T23:30:00.000Z,Georgetown,Morgan State,97,182,-1.0,keep,none,,-1.0,0,0,0,0,-27.5,-27.5,-24.5,-24.5
Am. East,38.0,New Hampshire,190,209771,ACC,88.0,Clemson,52,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-29.5,146.5,,,-27.5,146.5,2025-11-04T00:00:00.000Z,Clemson,New Hampshire,52,190,-1.0,keep,none,,-1.0,0,0,0,0,-29.5,-29.5,-27.5,-27.5
NEC,55.0,New Haven,1507,209772,Big East,79.0,UConn,314,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-42.5,145.5,,,-40.5,146.5,2025-11-04T00:00:00.000Z,UConn,New Haven,314,1507,-1.0,keep,none,,-1.0,0,0,0,0,-42.5,-42.5,-40.5,-40.5
Patriot,79.0,Holy Cross,111,209773,Big East,89.0,Providence,235,2026,regular,2025-11-04T00:15:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-23.5,152.5,,,-24.5,150.5,2025-11-04T00:15:00.000Z,Providence,Holy Cross,235,111,-1.0,keep,none,,-1.0,0,0,0,0,-23.5,-23.5,-24.5,-24.5
MAAC,53.0,Rider,243,209774,ACC,87.0,Virginia,339,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-26.5,147.5,,,-25.5,143.5,2025-11-04T00:00:00.000Z,Virginia,Rider,339,243,-1.0,keep,none,,-1.0,0,0,0,0,-26.5,-26.5,-25.5,-25.5
NEC,66.0,St. Francis (PA),278,209775,SEC,102.0,Oklahoma,217,2026,regular,2025-11-04T01:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-31.5,149.5,,,-28.5,147.5,2025-11-04T01:30:00.000Z,Oklahoma,St. Francis (PA),217,278,-1.0,keep,none,,-1.0,0,0,0,0,-31.5,-31.5,-28.5,-28.5
NEC,67.0,Long Island University,146,209776,ACC,89.0,Notre Dame,213,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-15.5,135.5,,,-18.5,134.5,2025-11-04T00:00:00.000Z,Notre Dame,Long Island University,213,146,-1.0,keep,none,,-1.0,0,0,0,0,-15.5,-15.5,-18.5,-18.5
NEC,50.0,Fairleigh Dickinson,84,209777,Big 12,88.0,Iowa State,125,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-37.5,147.5,,,-35.5,,2025-11-04T01:00:00.000Z,Iowa State,Fairleigh Dickinson,125,84,-1.0,keep,none,,-1.0,0,0,0,0,-37.5,-37.5,-35.5,-35.5
Summit,62.0,North Dakota,201,209778,SEC,91.0,Alabama,5,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-36.5,169.5,,,-31.5,168.5,2025-11-04T01:00:00.000Z,Alabama,North Dakota,5,201,-1.0,keep,none,,-1.0,0,0,0,0,-36.5,-36.5,-31.5,-31.5
WAC,81.0,Utah Tech,330,209779,Summit,79.0,South Dakota,269,2026,regular,2025-11-04T01:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-1.5,164.5,,,-2.5,160.5,2025-11-04T01:30:00.000Z,South Dakota,Utah Tech,269,330,,keep,none,,0.0,0,0,0,0,-1.5,-1.5,-2.5,-2.5
ASUN,69.0,Jacksonville,127,209780,ACC,86.0,Miami,168,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-18.5,142.5,,,-19.5,146.5,2025-11-04T01:00:00.000Z,Miami,Jacksonville,168,127,-1.0,keep,none,,-1.0,0,0,0,0,-18.5,-18.5,-19.5,-19.5
CUSA,70.0,Delaware,66,209781,Patriot,78.0,Bucknell,32,2026,regular,2025-11-04T00:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-1.5,149.5,,,1.5,153.5,2025-11-04T00:00:00.000Z,Bucknell,Delaware,32,66,,keep,none,,0.0,0,0,0,0,-1.5,-1.5,1.5,1.5
Southland,58.0,SE Louisiana,246,209782,SEC,88.0,Ole Miss,220,2026,regular,2025-11-04T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-a8342d5c.parquet,2026-03-11,ESPN BET,-22.5,142.5,,,-23.5,143.5,2025-11-04T01:00:00.000Z,Ole Miss,SE Louisiana,220,246,-1.0,keep,none,,-1.0,0,0,0,0,-22.5,-22.5,-23.5,-23.5
