window,strategy,slice,tracked_rows,bets,wins,losses,pushes,pending,ats_hit_rate,roi_per_1_at_minus_110,avg_pick_prob_edge,avg_filter_score
season_to_date,filter_only,full_live,170,89,47,42,1,80,0.5281,0.0082,0.0208,0.6514
season_to_date,filter_only,feb15_plus,170,89,47,42,1,80,0.5281,0.0082,0.0208,0.6514
season_to_date,filter_only,march,80,46,25,21,1,33,0.5435,0.0375,0.0154,0.6511
season_to_date,filter_only,conference_tournaments,46,44,25,19,1,1,0.5682,0.0847,0.0129,0.6388
season_to_date,filter_only,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,internal_filter,full_live,227,122,66,56,1,104,0.541,0.0328,0.0486,0.649
season_to_date,internal_filter,feb15_plus,227,122,66,56,1,104,0.541,0.0328,0.0486,0.649
season_to_date,internal_filter,march,95,55,30,25,1,39,0.5455,0.0413,0.0313,0.6477
season_to_date,internal_filter,conference_tournaments,55,53,30,23,1,1,0.566,0.0806,0.0309,0.6375
season_to_date,internal_filter,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,overlap,full_live,57,33,19,14,0,24,0.5758,0.0992,0.1296,0.6416
season_to_date,overlap,feb15_plus,57,33,19,14,0,24,0.5758,0.0992,0.1296,0.6416
season_to_date,overlap,march,15,9,5,4,0,6,0.5556,0.0606,0.1123,0.6296
season_to_date,overlap,conference_tournaments,9,9,5,4,0,0,0.5556,0.0606,0.1148,0.6307
season_to_date,overlap,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,raw_edge_baseline,full_live,376,193,111,82,0,183,0.5751,0.098,0.14,0.4011
season_to_date,raw_edge_baseline,feb15_plus,376,193,111,82,0,183,0.5751,0.098,0.14,0.4011
season_to_date,raw_edge_baseline,march,137,55,33,22,0,82,0.6,0.1455,0.1387,0.3835
season_to_date,raw_edge_baseline,conference_tournaments,54,54,32,22,0,0,0.5926,0.1313,0.1279,0.3967
season_to_date,raw_edge_baseline,ncaa_tournament,0,0,0,0,0,0,,,,
season_to_date,raw_only,full_live,319,160,92,68,0,159,0.575,0.0977,0.1419,0.3581
season_to_date,raw_only,feb15_plus,319,160,92,68,0,159,0.575,0.0977,0.1419,0.3581
season_to_date,raw_only,march,122,46,28,18,0,76,0.6087,0.1621,0.142,0.3532
season_to_date,raw_only,conference_tournaments,45,45,27,18,0,0,0.6,0.1455,0.1305,0.35
season_to_date,raw_only,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_14d,filter_only,full_live,80,46,25,21,1,33,0.5435,0.0375,0.0154,0.6511
trailing_14d,filter_only,feb15_plus,80,46,25,21,1,33,0.5435,0.0375,0.0154,0.6511
trailing_14d,filter_only,march,80,46,25,21,1,33,0.5435,0.0375,0.0154,0.6511
trailing_14d,filter_only,conference_tournaments,46,44,25,19,1,1,0.5682,0.0847,0.0129,0.6388
trailing_14d,filter_only,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_14d,internal_filter,full_live,95,55,30,25,1,39,0.5455,0.0413,0.0313,0.6477
trailing_14d,internal_filter,feb15_plus,95,55,30,25,1,39,0.5455,0.0413,0.0313,0.6477
trailing_14d,internal_filter,march,95,55,30,25,1,39,0.5455,0.0413,0.0313,0.6477
trailing_14d,internal_filter,conference_tournaments,55,53,30,23,1,1,0.566,0.0806,0.0309,0.6375
trailing_14d,internal_filter,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_14d,overlap,full_live,15,9,5,4,0,6,0.5556,0.0606,0.1123,0.6296
trailing_14d,overlap,feb15_plus,15,9,5,4,0,6,0.5556,0.0606,0.1123,0.6296
trailing_14d,overlap,march,15,9,5,4,0,6,0.5556,0.0606,0.1123,0.6296
trailing_14d,overlap,conference_tournaments,9,9,5,4,0,0,0.5556,0.0606,0.1148,0.6307
trailing_14d,overlap,ncaa_tournament,0,0,0,0,0,0,,,,
trailing_14d,raw_edge_baseline,full_live,137,55,33,22,0,82,0.6,0.1455,0.1387,0.3835
trailing_14d,raw_edge_baseline,feb15_plus,137,55,33,22,0,82,0.6,0.1455,0.1387,0.3835
trailing_14d,raw_edge_baseline,march,137,55,33,22,0,82,0.6,0.1455,0.1387,0.3835
trailing_14d,raw_edge_baseline,conference_tournaments,54,54,32,22,0,0,0.5926,0.1313,0.1279,0.3967
trailing_14d,raw_edge_baseline,ncaa_tournament,0,0,0,0,0,0,,,,
