strategy,game_date,tracked_rows,bets,wins,losses,pushes,pending,ats_hit_rate,roi_per_1_at_minus_110,avg_pick_prob_edge,avg_filter_score
filter_only,2026-02-15,3,3,1,2,0,0,0.3333,-0.3636,0.0157,0.714
internal_filter,2026-02-15,4,4,1,3,0,0,0.25,-0.5227,0.0682,0.7002
overlap,2026-02-15,1,1,0,1,0,0,0.0,-1.0,0.226,0.659
raw_edge_baseline,2026-02-15,7,7,3,4,0,0,0.4286,-0.1818,0.1729,0.5179
raw_only,2026-02-15,6,6,3,3,0,0,0.5,-0.0455,0.164,0.4943
filter_only,2026-02-16,4,4,2,2,0,0,0.5,-0.0455,0.0318,0.6085
internal_filter,2026-02-16,5,5,3,2,0,0,0.6,0.1455,0.0568,0.6034
overlap,2026-02-16,1,1,1,0,0,0,1.0,0.9091,0.157,0.583
raw_edge_baseline,2026-02-16,8,8,4,4,0,0,0.5,-0.0455,0.1541,0.374
raw_only,2026-02-16,7,7,3,4,0,0,0.4286,-0.1818,0.1537,0.3441
filter_only,2026-02-17,2,2,2,0,0,0,1.0,0.9091,0.035,0.7065
internal_filter,2026-02-17,6,6,4,2,0,0,0.6667,0.2727,0.1033,0.658
overlap,2026-02-17,4,4,2,2,0,0,0.5,-0.0455,0.1375,0.6338
raw_edge_baseline,2026-02-17,20,20,15,5,0,0,0.75,0.4318,0.1417,0.4141
raw_only,2026-02-17,16,16,13,3,0,0,0.8125,0.5511,0.1427,0.3592
filter_only,2026-02-18,8,8,5,3,0,0,0.625,0.1932,0.029,0.6342
internal_filter,2026-02-18,11,11,7,4,0,0,0.6364,0.2149,0.0612,0.6335
overlap,2026-02-18,3,3,2,1,0,0,0.6667,0.2727,0.147,0.6313
raw_edge_baseline,2026-02-18,22,22,14,8,0,0,0.6364,0.2149,0.1489,0.392
raw_only,2026-02-18,19,19,12,7,0,0,0.6316,0.2057,0.1492,0.3542
filter_only,2026-02-19,7,7,4,3,0,0,0.5714,0.0909,0.035,0.6381
internal_filter,2026-02-19,10,10,6,4,0,0,0.6,0.1455,0.0742,0.6299
overlap,2026-02-19,3,3,2,1,0,0,0.6667,0.2727,0.1657,0.6107
raw_edge_baseline,2026-02-19,17,17,11,6,0,0,0.6471,0.2353,0.1342,0.3982
raw_only,2026-02-19,14,14,9,5,0,0,0.6429,0.2273,0.1275,0.3526
filter_only,2026-02-20,2,2,1,1,0,0,0.5,-0.0455,0.0175,0.688
internal_filter,2026-02-20,2,2,1,1,0,0,0.5,-0.0455,0.0175,0.688
raw_edge_baseline,2026-02-20,3,3,2,1,0,0,0.6667,0.2727,0.1193,0.354
raw_only,2026-02-20,3,3,2,1,0,0,0.6667,0.2727,0.1193,0.354
filter_only,2026-02-21,17,17,7,10,0,0,0.4118,-0.2139,0.028,0.6445
internal_filter,2026-02-21,29,29,14,15,0,0,0.4828,-0.0784,0.0713,0.652
overlap,2026-02-21,12,12,7,5,0,0,0.5833,0.1136,0.1326,0.6627
raw_edge_baseline,2026-02-21,61,61,29,32,0,0,0.4754,-0.0924,0.1449,0.4124
raw_only,2026-02-21,49,49,22,27,0,0,0.449,-0.1429,0.1479,0.3512
filter_only,2026-02-22,4,0,0,0,0,4,,,0.0278,0.629
internal_filter,2026-02-22,5,0,0,0,0,5,,,0.0504,0.642
overlap,2026-02-22,1,0,0,0,0,1,,,0.141,0.694
raw_edge_baseline,2026-02-22,4,0,0,0,0,4,,,0.1555,0.4248
raw_only,2026-02-22,3,0,0,0,0,3,,,0.1603,0.335
filter_only,2026-02-23,1,0,0,0,0,1,,,0.029,0.662
internal_filter,2026-02-23,1,0,0,0,0,1,,,0.029,0.662
raw_edge_baseline,2026-02-23,3,0,0,0,0,3,,,0.1393,0.5297
raw_only,2026-02-23,3,0,0,0,0,3,,,0.1393,0.5297
filter_only,2026-02-24,3,0,0,0,0,3,,,0.008,0.6773
internal_filter,2026-02-24,5,0,0,0,0,5,,,0.0476,0.671
overlap,2026-02-24,2,0,0,0,0,2,,,0.107,0.6615
raw_edge_baseline,2026-02-24,10,0,0,0,0,10,,,0.162,0.3734
raw_only,2026-02-24,8,0,0,0,0,8,,,0.1758,0.3014
filter_only,2026-02-25,8,0,0,0,0,8,,,0.0066,0.6644
internal_filter,2026-02-25,10,0,0,0,0,10,,,0.0263,0.6609
overlap,2026-02-25,2,0,0,0,0,2,,,0.105,0.647
raw_edge_baseline,2026-02-25,17,0,0,0,0,17,,,0.1284,0.4052
raw_only,2026-02-25,15,0,0,0,0,15,,,0.1315,0.373
filter_only,2026-02-26,11,0,0,0,0,11,,,0.0383,0.6455
internal_filter,2026-02-26,14,0,0,0,0,14,,,0.0511,0.6424
overlap,2026-02-26,3,0,0,0,0,3,,,0.0983,0.631
raw_edge_baseline,2026-02-26,19,0,0,0,0,19,,,0.1335,0.3895
raw_only,2026-02-26,16,0,0,0,0,16,,,0.1401,0.3442
filter_only,2026-02-27,3,0,0,0,0,3,,,0.029,0.6313
internal_filter,2026-02-27,3,0,0,0,0,3,,,0.029,0.6313
raw_edge_baseline,2026-02-27,5,0,0,0,0,5,,,0.138,0.3752
raw_only,2026-02-27,5,0,0,0,0,5,,,0.138,0.3752
filter_only,2026-02-28,17,0,0,0,0,17,,,0.0192,0.6631
internal_filter,2026-02-28,27,0,0,0,0,27,,,0.0633,0.6572
overlap,2026-02-28,10,0,0,0,0,10,,,0.1384,0.6471
raw_edge_baseline,2026-02-28,43,0,0,0,0,43,,,0.129,0.4317
raw_only,2026-02-28,33,0,0,0,0,33,,,0.1261,0.3665
filter_only,2026-03-01,3,0,0,0,0,3,,,0.0183,0.647
internal_filter,2026-03-01,7,0,0,0,0,7,,,0.0671,0.6297
overlap,2026-03-01,4,0,0,0,0,4,,,0.1038,0.6168
raw_edge_baseline,2026-03-01,10,0,0,0,0,10,,,0.1235,0.4519
raw_only,2026-03-01,6,0,0,0,0,6,,,0.1367,0.342
filter_only,2026-03-02,1,0,0,0,0,1,,,0.009,0.742
internal_filter,2026-03-02,2,0,0,0,0,2,,,0.0675,0.729
overlap,2026-03-02,1,0,0,0,0,1,,,0.126,0.716
raw_edge_baseline,2026-03-02,5,1,1,0,0,4,1.0,0.9091,0.1328,0.4004
