strategy,game_date,wins,losses,pushes,bets,roi_sum,ats_hit_rate,roi_per_1_at_minus_110
filter_only,2026-02-15,1,2,0,3,-1.0909,0.3333,-0.3636
filter_only,2026-02-16,3,4,0,7,-1.2727,0.4286,-0.1818
filter_only,2026-02-17,5,4,0,9,0.5455,0.5556,0.0606
filter_only,2026-02-18,10,7,0,17,2.0909,0.5882,0.123
filter_only,2026-02-19,14,10,0,24,2.7273,0.5833,0.1136
filter_only,2026-02-20,15,11,0,26,2.6364,0.5769,0.1014
filter_only,2026-02-21,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-22,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-23,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-24,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-25,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-26,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-27,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-02-28,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-03-01,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-03-02,22,21,0,43,-1.0,0.5116,-0.0233
filter_only,2026-03-03,22,23,0,45,-3.0,0.4889,-0.0667
filter_only,2026-03-04,23,25,0,48,-4.0909,0.4792,-0.0852
filter_only,2026-03-05,25,25,0,50,-2.2727,0.5,-0.0455
filter_only,2026-03-06,27,25,0,52,-0.4545,0.5192,-0.0087
filter_only,2026-03-07,33,26,0,59,4.0,0.5593,0.0678
filter_only,2026-03-08,35,29,0,64,2.8182,0.5469,0.044
filter_only,2026-03-09,36,30,0,66,2.7273,0.5455,0.0413
filter_only,2026-03-10,38,32,0,70,2.5455,0.5429,0.0364
filter_only,2026-03-11,43,33,0,76,6.0909,0.5658,0.0801
filter_only,2026-03-12,43,40,0,83,-0.9091,0.5181,-0.011
filter_only,2026-03-13,47,42,1,89,0.7273,0.5281,0.0082
filter_only,2026-03-14,47,42,1,89,0.7273,0.5281,0.0082
internal_filter,2026-02-15,1,3,0,4,-2.0909,0.25,-0.5227
internal_filter,2026-02-16,4,5,0,9,-1.3636,0.4444,-0.1515
internal_filter,2026-02-17,8,7,0,15,0.2727,0.5333,0.0182
internal_filter,2026-02-18,15,11,0,26,2.6364,0.5769,0.1014
internal_filter,2026-02-19,21,15,0,36,4.0909,0.5833,0.1136
internal_filter,2026-02-20,22,16,0,38,4.0,0.5789,0.1053
internal_filter,2026-02-21,36,31,0,67,1.7273,0.5373,0.0258
internal_filter,2026-02-22,36,31,0,67,1.7273,0.5373,0.0258
internal_filter,2026-02-23,36,31,0,67,1.7273,0.5373,0.0258
internal_filter,2026-02-24,36,31,0,67,1.7273,0.5373,0.0258
internal_filter,2026-02-25,36,31,0,67,1.7273,0.5373,0.0258
internal_filter,2026-02-26,36,31,0,67,1.7273,0.5373,0.0258
