scenario,bucket,n,avg_pick_prob,win_rate,roi
full,"[0.5, 0.55)",15509,0.5240156825360243,0.49723720990704023,-0.050316824834846625
full,"[0.55, 0.6)",9835,0.5723753827295779,0.5114754098360655,-0.02336737995100983
full,"[0.6, 0.65)",4419,0.6212581653100255,0.5160775370581528,-0.014647493262564544
full,"[0.65, 0.7)",1738,0.671037099258287,0.5370799536500579,0.025159535516267404
full,"[0.7, 0.75)",638,0.721838430201441,0.537007874015748,0.025078369905956112
full,"[0.75, 0.8)",344,0.7717357130841792,0.5,-0.0449260042283298
full,"[0.8, 0.85)",173,0.8221891643387891,0.5847953216374269,0.11508145034156593
full,"[0.85, 1.01)",173,0.9046030067590991,0.6416184971098265,0.22490803993694167
exclude_high,"[0.5, 0.55)",15509,0.5240156825360243,0.49723720990704023,-0.050316824834846625
exclude_high,"[0.55, 0.6)",9835,0.5723753827295779,0.5114754098360655,-0.02336737995100983
exclude_high,"[0.6, 0.65)",4419,0.6212581653100255,0.5160775370581528,-0.014647493262564544
exclude_high,"[0.65, 0.7)",1738,0.671037099258287,0.5370799536500579,0.025159535516267404
exclude_high,"[0.7, 0.75)",638,0.721838430201441,0.537007874015748,0.025078369905956112
exclude_high,"[0.75, 0.8)",344,0.7717357130841792,0.5,-0.0449260042283298
exclude_high,"[0.8, 0.85)",173,0.8221891643387891,0.5847953216374269,0.11508145034156593
exclude_high,"[0.85, 1.01)",173,0.9046030067590991,0.6416184971098265,0.22490803993694167
exclude_high_medium,"[0.5, 0.55)",15509,0.5240156825360243,0.49723720990704023,-0.050316824834846625
exclude_high_medium,"[0.55, 0.6)",9835,0.5723753827295779,0.5114754098360655,-0.02336737995100983
exclude_high_medium,"[0.6, 0.65)",4419,0.6212581653100255,0.5160775370581528,-0.014647493262564544
exclude_high_medium,"[0.65, 0.7)",1738,0.671037099258287,0.5370799536500579,0.025159535516267404
exclude_high_medium,"[0.7, 0.75)",638,0.721838430201441,0.537007874015748,0.025078369905956112
exclude_high_medium,"[0.75, 0.8)",344,0.7717357130841792,0.5,-0.0449260042283298
exclude_high_medium,"[0.8, 0.85)",173,0.8221891643387891,0.5847953216374269,0.11508145034156593
exclude_high_medium,"[0.85, 1.01)",173,0.9046030067590991,0.6416184971098265,0.22490803993694167
