awayConference,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeScore,homeTeam_x,homeTeamId_x,season,seasonType,startDate_x,source_key,source_asof,provider,spread,overUnder,homeMoneyline,awayMoneyline,spreadOpen,overUnderOpen,startDate_y,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,spread_sign_for_votes,repair_action,repair_confidence,repair_reason,majority_sign_sum,provider_count,homeTeam,awayTeam,homeTeamId,awayTeamId,neutralSite,startDate,confidence,reason_flag,rating_edge
Summit,74.0,North Dakota State,202,54173,Big Ten,80.0,Illinois,118,2016,regular,2015-11-15T20:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-6.0,,,,,,2015-11-15T20:00:00.000Z,Illinois,North Dakota State,118,202,-1.0,keep,none,,-3.0,3.0,Illinois,North Dakota State,118,202,True,2015-11-15T20:00:00.000Z,low,extreme_rating_context_conflict,-17.1206
MAC,88.0,Ohio,215,54463,American,90.0,Tulsa,304,2016,regular,2015-11-20T18:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-10.0,,,,,,2015-11-20T18:00:00.000Z,Tulsa,Ohio,304,215,-1.0,keep,none,,-3.0,3.0,Tulsa,Ohio,304,215,True,2015-11-20T18:00:00.000Z,low,extreme_rating_context_conflict,-13.601
CUSA,58.0,Florida Atlantic,86,54470,CAA,60.0,Northeastern,205,2016,regular,2015-11-20T22:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,9.0,,,,,,2015-11-20T22:00:00.000Z,Northeastern,Florida Atlantic,205,86,1.0,keep,none,,0.0,2.0,Northeastern,Florida Atlantic,205,86,True,2015-11-20T22:00:00.000Z,low,extreme_rating_context_conflict,26.8668
Big Ten,61.0,Purdue,236,54519,CUSA,39.0,Old Dominion,219,2016,regular,2015-11-21T17:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-7.5,,,,,,2015-11-21T17:00:00.000Z,Old Dominion,Purdue,219,236,-1.0,keep,none,,-1.0,1.0,Old Dominion,Purdue,219,236,True,2015-11-21T17:00:00.000Z,low,extreme_rating_context_conflict,-15.432399999999998
CAA,81.0,Charleston,46,54522,A-10,82.0,Davidson,63,2016,regular,2015-11-21T18:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-14.0,,,,,,2015-11-21T18:00:00.000Z,Davidson,Charleston,63,46,-1.0,keep,none,,-3.0,3.0,Davidson,Charleston,63,46,False,2015-11-21T18:00:00.000Z,low,extreme_rating_context_conflict,-29.205000000000005
A-10,63.0,Saint Joseph's,251,54537,SEC,74.0,Florida,87,2016,regular,2015-11-21T19:30:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,7.5,,,,,,2015-11-21T19:30:00.000Z,Florida,Saint Joseph's,87,251,1.0,keep,none,,1.0,1.0,Florida,Saint Joseph's,87,251,True,2015-11-21T19:30:00.000Z,low,extreme_rating_context_conflict,36.8472
Big West,73.0,Cal Poly,35,54550,OVC,64.0,Austin Peay,17,2016,regular,2015-11-21T21:30:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-12.0,,,,,,2015-11-21T21:30:00.000Z,Austin Peay,Cal Poly,17,35,-1.0,keep,none,,0.0,2.0,Austin Peay,Cal Poly,17,35,True,2015-11-21T21:30:00.000Z,low,extreme_rating_context_conflict,-25.3869
CUSA,69.0,Middle Tennessee,171,54584,OVC,66.0,Tennessee State,290,2016,regular,2015-11-22T01:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,6.0,,,,,,2015-11-22T01:00:00.000Z,Tennessee State,Middle Tennessee,290,171,1.0,keep,none,,3.0,3.0,Tennessee State,Middle Tennessee,290,171,False,2015-11-22T01:00:00.000Z,low,extreme_rating_context_conflict,17.5801
Horizon,89.0,Oakland,214,54630,Mountain West,95.0,Colorado State,57,2016,regular,2015-11-22T21:00:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-7.5,,,,,,2015-11-22T21:00:00.000Z,Colorado State,Oakland,57,214,-1.0,keep,none,,-3.0,3.0,Colorado State,Oakland,57,214,False,2015-11-22T21:00:00.000Z,low,extreme_rating_context_conflict,-15.010399999999997
Sun Belt,68.0,UT Arlington,324,54694,American,64.0,Memphis,163,2016,regular,2015-11-24T01:30:00.000Z,bronze/lines/season=2016/asof=2026-01-30/part-58ff9cc9.parquet,2026-01-30,consensus,-11.5,,,,,,2015-11-24T01:30:00.000Z,Memphis,UT Arlington,163,324,-1.0,keep,none,,-3.0,3.0,Memphis,UT Arlington,163,324,False,2015-11-24T01:30:00.000Z,low,extreme_rating_context_conflict,-22.3424
