awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
MEAC,176.0,57,North Carolina Central,199,56049,OVC,-200.0,52,Eastern Illinois,77,133.0,,teamrankings,2016,regular,4.5,,2015-12-22T19:00:00.000Z,1.0,1.0,Eastern Illinois,North Carolina Central,77,199,True,2015-12-22T19:00:00.000Z,medium,moneyline_conflict,
Am. East,-1100.0,65,UMBC,317,54615,Big West,789.0,78,Cal Poly,35,138.0,,teamrankings,2016,regular,-13.5,,2015-11-22T19:00:00.000Z,-1.0,1.0,Cal Poly,UMBC,35,317,True,2015-11-22T19:00:00.000Z,high,strong_moneyline_conflict,
MEAC,-235.0,72,North Carolina A&T,198,54621,MAAC,205.0,73,Niagara,194,140.0,,teamrankings,2016,regular,-5.5,,2015-11-22T19:30:00.000Z,-1.0,1.0,Niagara,North Carolina A&T,194,198,True,2015-11-22T19:30:00.000Z,medium,moneyline_conflict,
Pac-12,226.0,90,California,40,54934,A-10,-260.0,94,Richmond,242,145.0,,teamrankings,2016,regular,6.0,,2015-11-28T01:00:00.000Z,1.0,1.0,Richmond,California,242,40,True,2015-11-28T01:00:00.000Z,high,strong_moneyline_conflict,
ACC,200.0,66,Notre Dame,213,49643,Big East,-240.0,74,Villanova,338,145.0,,numberfire,2017,regular,6.0,,2016-12-10T17:00:00.000Z,0.0,2.0,Villanova,Notre Dame,338,213,True,2016-12-10T17:00:00.000Z,medium,moneyline_conflict,
Big Ten,159.0,92,Iowa,124,49007,American,-180.0,100,Memphis,163,150.0,,teamrankings,2017,regular,4.0,,2016-11-26T21:00:00.000Z,1.0,1.0,Memphis,Iowa,163,124,True,2016-11-26T21:00:00.000Z,medium,moneyline_conflict,
WAC,205.0,77,Cal State Bakersfield,36,49019,ASUN,-235.0,54,North Florida,203,147.0,,teamrankings,2017,regular,5.0,,2016-11-26T21:30:00.000Z,1.0,1.0,North Florida,Cal State Bakersfield,203,36,True,2016-11-26T21:30:00.000Z,medium,moneyline_conflict,
MVC,-330.0,62,Evansville,82,49029,CAA,282.0,65,UNC Wilmington,321,131.0,,teamrankings,2017,regular,-7.0,,2016-11-26T23:00:00.000Z,-1.0,1.0,UNC Wilmington,Evansville,321,82,True,2016-11-26T23:00:00.000Z,high,strong_moneyline_conflict,
ACC,-270.0,54,Boston College,26,49033,A-10,234.0,67,Richmond,242,142.0,,teamrankings,2017,regular,-6.0,,2016-11-27T00:00:00.000Z,-1.0,1.0,Richmond,Boston College,242,26,True,2016-11-27T00:00:00.000Z,high,strong_moneyline_conflict,
ACC,568.0,63,Virginia,339,49034,Big East,-730.0,52,Providence,235,117.0,,teamrankings,2017,regular,12.0,,2016-11-27T00:00:00.000Z,1.0,1.0,Providence,Virginia,235,339,True,2016-11-27T00:00:00.000Z,high,strong_moneyline_conflict,
