gameid,date,repair_mode,suspicious_rows,home_teamid,away_teamid,shared_possessions_formula
28,2024-11-04,repair_from_clean_side_and_actual_score,1,128,495,57.375
25,2024-11-04,repair_from_clean_side_and_actual_score,1,171,493,54.125
24,2024-11-04,repair_from_clean_side_and_actual_score,1,115,492,54.375
40,2024-11-04,repair_from_clean_side_and_actual_score,1,318,502,59.0
32,2024-11-04,repair_from_clean_side_and_actual_score,1,356,497,60.225
44,2024-11-04,repair_from_clean_side_and_actual_score,1,354,503,52.325
33,2024-11-04,repair_from_clean_side_and_actual_score,1,110,498,56.375
45,2024-11-04,drop_both_sides_corrupted,2,279,91,
13,2024-11-05,drop_both_sides_corrupted,2,312,293,
9,2024-11-05,repair_from_clean_side_and_actual_score,1,72,154,66.225
10,2024-11-05,drop_both_sides_corrupted,2,200,81,
11,2024-11-05,drop_both_sides_corrupted,2,11,42,
7,2024-11-05,repair_from_clean_side_and_actual_score,1,125,175,65.85
8,2024-11-05,drop_both_sides_corrupted,2,102,20,
82,2024-11-05,repair_from_clean_side_and_actual_score,1,185,268,53.075
142,2024-11-05,repair_from_clean_side_and_actual_score,1,139,550,66.8
164,2024-11-05,repair_from_clean_side_and_actual_score,1,290,555,51.85
193,2024-11-05,repair_from_clean_side_and_actual_score,1,311,571,55.425
151,2024-11-05,repair_from_clean_side_and_actual_score,1,355,111,55.95
191,2024-11-05,repair_from_clean_side_and_actual_score,1,225,569,53.375
125,2024-11-05,drop_both_sides_corrupted,2,332,544,
98,2024-11-05,repair_from_clean_side_and_actual_score,1,150,181,52.975
163,2024-11-05,repair_from_clean_side_and_actual_score,1,282,554,59.975
5,2024-11-05,repair_from_clean_side_and_actual_score,1,5,319,52.65
182,2024-11-05,repair_from_clean_side_and_actual_score,1,331,7,46.65
83,2024-11-05,repair_from_clean_side_and_actual_score,1,161,190,56.125
183,2024-11-05,repair_from_clean_side_and_actual_score,1,345,567,58.75
153,2024-11-05,repair_from_clean_side_and_actual_score,1,124,76,59.425
172,2024-11-05,repair_from_clean_side_and_actual_score,1,103,561,54.225
167,2024-11-05,drop_both_sides_corrupted,2,276,558,
130,2024-11-05,repair_from_clean_side_and_actual_score,1,29,272,55.85
54,2024-11-05,repair_from_clean_side_and_actual_score,1,69,511,46.325
192,2024-11-05,repair_from_clean_side_and_actual_score,1,153,570,58.375
19,2024-11-05,repair_from_clean_side_and_actual_score,1,313,243,45.275
144,2024-11-05,repair_from_clean_side_and_actual_score,1,240,83,55.025
171,2024-11-05,repair_from_clean_side_and_actual_score,1,248,288,54.5
15,2024-11-05,repair_from_clean_side_and_actual_score,1,157,285,50.8
165,2024-11-05,repair_from_clean_side_and_actual_score,1,247,556,59.9
170,2024-11-05,drop_both_sides_corrupted,2,246,560,
6,2024-11-05,repair_from_clean_side_and_actual_score,1,113,126,48.375
188,2024-11-05,repair_from_clean_side_and_actual_score,1,2,197,45.375
