view,scope,season,bucket,n
market,season,2019,<5,423
market,season,2019,5-10,332
market,season,2019,10-15,137
market,season,2019,15+,85
market,season,2020,<5,909
market,season,2020,5-10,702
market,season,2020,10-15,286
market,season,2020,15+,233
market,prior_train_for_season,2020,<5,423
market,prior_train_for_season,2020,5-10,332
market,prior_train_for_season,2020,10-15,137
market,prior_train_for_season,2020,15+,85
market,season,2022,<5,911
market,season,2022,5-10,728
market,season,2022,10-15,347
market,season,2022,15+,234
market,prior_train_for_season,2022,<5,1332
market,prior_train_for_season,2022,5-10,1034
market,prior_train_for_season,2022,10-15,423
market,prior_train_for_season,2022,15+,318
market,season,2023,<5,975
market,season,2023,5-10,798
market,season,2023,10-15,334
market,season,2023,15+,242
market,prior_train_for_season,2023,<5,2243
market,prior_train_for_season,2023,5-10,1762
market,prior_train_for_season,2023,10-15,770
market,prior_train_for_season,2023,15+,552
market,season,2024,<5,1005
market,season,2024,5-10,723
market,season,2024,10-15,328
market,season,2024,15+,222
market,prior_train_for_season,2024,<5,3218
market,prior_train_for_season,2024,5-10,2560
market,prior_train_for_season,2024,10-15,1104
market,prior_train_for_season,2024,15+,794
market,season,2025,<5,1123
market,season,2025,5-10,800
market,season,2025,10-15,323
market,season,2025,15+,263
market,prior_train_for_season,2025,<5,4223
market,prior_train_for_season,2025,5-10,3283
market,prior_train_for_season,2025,10-15,1432
market,prior_train_for_season,2025,15+,1016
market,season,2026,<5,108
market,season,2026,5-10,84
market,season,2026,10-15,36
market,season,2026,15+,39
market,prior_train_for_season,2026,<5,5346
market,prior_train_for_season,2026,5-10,4083
market,prior_train_for_season,2026,10-15,1755
market,prior_train_for_season,2026,15+,1279
model,season,2019,<5,464
model,season,2019,5-10,333
model,season,2019,10-15,110
model,season,2019,15+,70
model,season,2020,<5,978
model,season,2020,5-10,684
model,season,2020,10-15,285
model,season,2020,15+,183
model,prior_train_for_season,2020,<5,464
model,prior_train_for_season,2020,5-10,333
model,prior_train_for_season,2020,10-15,110
model,prior_train_for_season,2020,15+,70
model,season,2022,<5,941
model,season,2022,5-10,755
model,season,2022,10-15,354
model,season,2022,15+,170
model,prior_train_for_season,2022,<5,1442
model,prior_train_for_season,2022,5-10,1017
model,prior_train_for_season,2022,10-15,395
model,prior_train_for_season,2022,15+,253
model,season,2023,<5,1054
model,season,2023,5-10,771
model,season,2023,10-15,318
model,season,2023,15+,206
model,prior_train_for_season,2023,<5,2383
model,prior_train_for_season,2023,5-10,1772
model,prior_train_for_season,2023,10-15,749
model,prior_train_for_season,2023,15+,423
model,season,2024,<5,1017
model,season,2024,5-10,765
model,season,2024,10-15,311
model,season,2024,15+,185
model,prior_train_for_season,2024,<5,3437
model,prior_train_for_season,2024,5-10,2543
model,prior_train_for_season,2024,10-15,1067
model,prior_train_for_season,2024,15+,629
model,season,2025,<5,1202
model,season,2025,5-10,775
model,season,2025,10-15,311
model,season,2025,15+,221
model,prior_train_for_season,2025,<5,4454
model,prior_train_for_season,2025,5-10,3308
model,prior_train_for_season,2025,10-15,1378
model,prior_train_for_season,2025,15+,814
model,season,2026,<5,119
model,season,2026,5-10,91
model,season,2026,10-15,24
model,season,2026,15+,33
model,prior_train_for_season,2026,<5,5656
model,prior_train_for_season,2026,5-10,4083
model,prior_train_for_season,2026,10-15,1689
model,prior_train_for_season,2026,15+,1035
actual,season,2019,<5,421
actual,season,2019,5-10,173
actual,season,2019,10-15,147
actual,season,2019,15+,236
actual,season,2020,<5,909
actual,season,2020,5-10,370
actual,season,2020,10-15,327
actual,season,2020,15+,524
actual,prior_train_for_season,2020,<5,421
actual,prior_train_for_season,2020,5-10,173
actual,prior_train_for_season,2020,10-15,147
actual,prior_train_for_season,2020,15+,236
actual,season,2022,<5,984
actual,season,2022,5-10,394
actual,season,2022,10-15,322
actual,season,2022,15+,520
actual,prior_train_for_season,2022,<5,1330
actual,prior_train_for_season,2022,5-10,543
actual,prior_train_for_season,2022,10-15,474
actual,prior_train_for_season,2022,15+,760
actual,season,2023,<5,1011
actual,season,2023,5-10,388
actual,season,2023,10-15,352
actual,season,2023,15+,598
actual,prior_train_for_season,2023,<5,2314
actual,prior_train_for_season,2023,5-10,937
actual,prior_train_for_season,2023,10-15,796
actual,prior_train_for_season,2023,15+,1280
actual,season,2024,<5,939
actual,season,2024,5-10,403
actual,season,2024,10-15,368
actual,season,2024,15+,568
actual,prior_train_for_season,2024,<5,3325
actual,prior_train_for_season,2024,5-10,1325
actual,prior_train_for_season,2024,10-15,1148
actual,prior_train_for_season,2024,15+,1878
actual,season,2025,<5,1040
actual,season,2025,5-10,417
actual,season,2025,10-15,387
actual,season,2025,15+,665
actual,prior_train_for_season,2025,<5,4264
actual,prior_train_for_season,2025,5-10,1728
actual,prior_train_for_season,2025,10-15,1516
actual,prior_train_for_season,2025,15+,2446
actual,season,2026,<5,106
actual,season,2026,5-10,46
actual,season,2026,10-15,34
actual,season,2026,15+,81
actual,prior_train_for_season,2026,<5,5304
actual,prior_train_for_season,2026,5-10,2145
actual,prior_train_for_season,2026,10-15,1903
actual,prior_train_for_season,2026,15+,3111
