season,variant,threshold,param_repr
2020,baseline,,None
2020,slope_tail8,8.0,1.2931070835195826
2020,slope_tail10,10.0,1.3422209837584334
2020,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2020,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
2022,baseline,,None
2022,slope_tail8,8.0,1.3140446279248776
2022,slope_tail10,10.0,1.3664244332643487
2022,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2022,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
2023,baseline,,None
2023,slope_tail8,8.0,1.3127843854179704
2023,slope_tail10,10.0,1.3654232660702512
2023,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2023,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
2024,baseline,,None
2024,slope_tail8,8.0,1.2951081858559195
2024,slope_tail10,10.0,1.3416814722057264
2024,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2024,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
2025,baseline,,None
2025,slope_tail8,8.0,1.2729380889062207
2025,slope_tail10,10.0,1.3131687573528092
2025,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2025,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
2026,baseline,,None
2026,slope_tail8,8.0,1.2682919946514506
2026,slope_tail10,10.0,1.3055781197653615
2026,isotonic_tail8,8.0,IsotonicRegression(out_of_bounds='clip')
2026,isotonic_tail10,10.0,IsotonicRegression(out_of_bounds='clip')
