variant,season,MAE_all,MAE_lined,Dec15_MAE_all,Dec15_MAE_lined
baseline,2020,9.554021881047543,9.031358138344427,8.976884800306815,8.869872084839924
baseline,2022,9.43403811867032,8.841149716337139,8.891600254541803,8.745622540358555
baseline,2023,9.549305325940562,9.1898727395055,8.987736287826907,8.975165089468815
baseline,2024,9.61059752249468,8.942290434867797,9.230360559641234,8.85708046706252
baseline,2025,9.610783915949535,9.104744629207834,9.169806815274297,8.97480379045896
baseline,2026,9.648298046355436,9.026971445976294,8.947548674611367,8.66104018215174
isotonic_tail10,2020,9.499149550336353,9.054927987392231,8.931411465050331,8.877719855488762
isotonic_tail10,2022,9.350799721801945,8.88050352756635,8.875592734361055,8.782378733069738
isotonic_tail10,2023,9.534909368252187,9.237534734211877,9.026208253111779,9.02609127169152
isotonic_tail10,2024,9.57740617659809,8.933953235961258,9.230699732408818,8.845883654465428
isotonic_tail10,2025,9.502395408607303,9.135977885356807,9.137732342948917,8.981355278601441
isotonic_tail10,2026,9.515972351774854,9.017198694909652,8.926368723713477,8.612443732486872
isotonic_tail8,2020,9.502018518741474,9.060497681536235,8.935265771759914,8.88053980955806
isotonic_tail8,2022,9.352903663754114,8.886961880423948,8.877997808549736,8.78993607539614
isotonic_tail8,2023,9.536827892952607,9.24093273881016,9.029182246794639,9.030642017617868
isotonic_tail8,2024,9.576402451583059,8.933923297983005,9.23002104947188,8.844918501926838
isotonic_tail8,2025,9.502171719095891,9.134502855128035,9.137067833481069,8.979726300320213
isotonic_tail8,2026,9.516358171120118,9.012428686050718,8.92838227265345,8.608599671154034
slope_tail10,2020,9.482350293946082,9.032655368844168,8.927678079164657,8.861460783959041
slope_tail10,2022,9.334180310545939,8.882330030683006,8.856779013802107,8.7819070162527
slope_tail10,2023,9.530239178856093,9.24078708576105,9.02786678845561,9.028403873250758
slope_tail10,2024,9.58936791226211,8.95566956730014,9.241751342350671,8.868660390965525
slope_tail10,2025,9.523686447125126,9.13791335295614,9.15362247371977,8.983517141573506
slope_tail10,2026,9.496926834337833,9.027297794901338,8.916764580538596,8.614069060674021
slope_tail8,2020,9.487838309570325,9.043051721745188,8.933665007771705,8.869329178811942
slope_tail8,2022,9.350628561309522,8.900101830623758,8.878322042399615,8.804119600806665
slope_tail8,2023,9.535108897850208,9.250044857953231,9.03350674520395,9.039331176683394
slope_tail8,2024,9.58663775817256,8.96633049921859,9.242123032179228,8.877064535408426
slope_tail8,2025,9.524332942766584,9.137730497537856,9.151332314166975,8.982146461889805
slope_tail8,2026,9.501286630797967,9.008642674265763,8.92455170512103,8.599572765797326
