n_games,mean_slot_bias,mean_abs_slot_bias,p95_abs_slot_bias,home_slot_adv_share,model,holdout_season
665,3.491212003152464,3.7704318177216702,8.984979128837582,0.9022556390977443,HistGradientBoosting,2019
665,3.491212003152464,3.7704318177216702,8.984979128837582,0.9022556390977443,HistGradientBoostingSwapSafeV2,2019
665,0.12695123518544033,1.0884063376687971,2.7301478862762445,0.5353383458646617,HistGradientBoostingSwapSafeV2Augmented,2019
459,3.410066461128062,3.7291049703955395,8.91279706954955,0.8649237472766884,HistGradientBoosting,2020
459,3.410066461128062,3.7291049703955395,8.91279706954955,0.8649237472766884,HistGradientBoostingSwapSafeV2,2020
459,-0.30593225799099194,1.1681358044843284,2.995721817016601,0.39433551198257083,HistGradientBoostingSwapSafeV2Augmented,2020
694,2.5467896244740444,3.154615304264477,8.135049295425414,0.7939481268011528,HistGradientBoosting,2022
694,2.5467896244740444,3.154615304264477,8.135049295425414,0.7939481268011528,HistGradientBoostingSwapSafeV2,2022
694,-0.06542084609012064,0.9148235838965617,2.468084287643434,0.4812680115273775,HistGradientBoostingSwapSafeV2Augmented,2022
768,1.7534525517664103,2.8730601471246096,7.356001871824263,0.7200520833333334,HistGradientBoosting,2023
768,1.7534525517664103,2.8730601471246096,7.356001871824263,0.7200520833333334,HistGradientBoostingSwapSafeV2,2023
768,0.3274325770669009,1.0494432616921756,2.60078702121973,0.6184895833333334,HistGradientBoostingSwapSafeV2Augmented,2023
746,3.821607790238801,3.9760801556548877,8.632270097732544,0.9276139410187667,HistGradientBoosting,2024
746,3.821607790238801,3.9760801556548877,8.632270097732544,0.9276139410187667,HistGradientBoostingSwapSafeV2,2024
746,-0.05939462062571605,0.9701104983716271,2.5748091340065002,0.49195710455764075,HistGradientBoostingSwapSafeV2Augmented,2024
747,3.745036821469223,3.9357471064919385,9.586656868457794,0.9009370816599732,HistGradientBoosting,2025
747,3.745036821469223,3.9357471064919385,9.586656868457794,0.9009370816599732,HistGradientBoostingSwapSafeV2,2025
747,0.18889262088682937,1.1061053312435956,2.73243578672409,0.5528781793842035,HistGradientBoostingSwapSafeV2Augmented,2025
