n_games,n_lined,MAE_all,RMSE_all,MedAE_all,WinAcc_all,MAE_lined,BookMAE_lined,DeltaVsBook_MAE,GaussianNLL,MeanAbsZ,Coverage_1sigma,Coverage_2sigma,model,slice,holdout_season
648,565,10.222323967798191,13.397892826450663,8.179504156112671,0.8009259259259259,9.501744023874089,9.230973451327433,0.27077057254665604,,,,,HistGradientBoosting,dec15_plus,2019
648,565,10.222323967798191,13.397892826450663,8.179504156112671,0.8009259259259259,9.501744023874089,9.230973451327433,0.27077057254665604,,,,,HistGradientBoostingSwapSafeV2,dec15_plus,2019
648,565,10.491661906733167,13.804565840776402,8.34091055393219,0.7947530864197531,9.778583476164119,9.230973451327433,0.5476100248366862,,,,,HistGradientBoostingSwapSafeV2Augmented,dec15_plus,2019
571,493,10.139955108776531,13.441516706198588,7.623592376708984,0.7740805604203153,9.199914865335543,8.833671399594321,0.36624346574122235,,,,,HistGradientBoosting,dec15_plus,2020
571,493,10.139955108776531,13.441516706198588,7.623592376708984,0.7740805604203153,9.199914865335543,8.833671399594321,0.36624346574122235,,,,,HistGradientBoostingSwapSafeV2,dec15_plus,2020
571,493,10.35233196225376,13.845643871530498,7.595088481903076,0.7845884413309983,9.309770303500654,8.833671399594321,0.47609890390633325,,,,,HistGradientBoostingSwapSafeV2Augmented,dec15_plus,2020
455,360,10.826090575902017,13.694148222424719,9.246787071228027,0.7802197802197802,9.816889839122693,9.227777777777778,0.589112061344915,,,,,HistGradientBoosting,dec15_plus,2022
455,360,10.826090575902017,13.694148222424719,9.246787071228027,0.7802197802197802,9.816889839122693,9.227777777777778,0.589112061344915,,,,,HistGradientBoostingSwapSafeV2,dec15_plus,2022
455,360,11.152352849615145,13.984638785699568,9.232517004013062,0.7824175824175824,9.93114010610928,9.227777777777778,0.7033623283315027,,,,,HistGradientBoostingSwapSafeV2Augmented,dec15_plus,2022
687,606,9.845053223208449,12.803688651426528,7.846019744873047,0.7714701601164483,9.11260895230792,8.914191419141915,0.19841753316600474,,,,,HistGradientBoosting,dec15_plus,2023
687,606,9.845053223208449,12.803688651426528,7.846019744873047,0.7714701601164483,9.11260895230792,8.914191419141915,0.19841753316600474,,,,,HistGradientBoostingSwapSafeV2,dec15_plus,2023
687,606,10.092233043104367,13.004859393580777,7.812460899353027,0.759825327510917,9.385284326515674,8.914191419141915,0.47109290737375886,,,,,HistGradientBoostingSwapSafeV2Augmented,dec15_plus,2023
646,499,10.387165027249592,13.521720704433674,8.087960243225098,0.8003095975232198,9.361350862227216,9.055110220440882,0.30624064178633326,,,,,HistGradientBoosting,dec15_plus,2024
