variant,bucket,n,avg_prob,actual_rate
beta_cap14,0.0-0.1,126,0.07943931046143754,0.06349206349206349
beta_cap14,0.1-0.2,1095,0.15905685554648136,0.1680365296803653
beta_cap14,0.2-0.3,1930,0.25165920668734576,0.24870466321243523
beta_cap14,0.3-0.4,2507,0.35229094760904217,0.3558037495013961
beta_cap14,0.4-0.5,3152,0.45239890157809987,0.4612944162436548
beta_cap14,0.5-0.6,4029,0.5524525755702957,0.5564656242243733
beta_cap14,0.6-0.7,5275,0.651238273806993,0.6312796208530805
beta_cap14,0.7-0.8,5425,0.7500124074403441,0.7458064516129033
beta_cap14,0.8-0.9,4950,0.8488752434489362,0.8521212121212122
beta_cap14,0.9-1.0,7375,0.9642855310194378,0.9620338983050848
cap14_mu_sigma,0.0-0.1,55,0.08052270142944708,0.09090909090909091
cap14_mu_sigma,0.1-0.2,770,0.16290236576067596,0.13766233766233765
cap14_mu_sigma,0.2-0.3,1758,0.2527777789683608,0.2241183162684869
cap14_mu_sigma,0.3-0.4,2445,0.3528651659745136,0.3357873210633947
cap14_mu_sigma,0.4-0.5,3303,0.45287662814143226,0.4383893430214956
cap14_mu_sigma,0.5-0.6,4312,0.5526872006010292,0.5524118738404453
cap14_mu_sigma,0.6-0.7,5833,0.6508440692257305,0.6272929881707526
cap14_mu_sigma,0.7-0.8,5878,0.7492708815619883,0.7604627424293977
cap14_mu_sigma,0.8-0.9,4954,0.8484175707492562,0.8702058942268873
cap14_mu_sigma,0.9-1.0,6556,0.9617313900919914,0.9690359975594874
meta_small_v1,0.0-0.1,94,0.07887260763567996,0.0425531914893617
meta_small_v1,0.1-0.2,1142,0.16015986968079507,0.15761821366024517
meta_small_v1,0.2-0.3,2004,0.25221247052497964,0.25748502994011974
meta_small_v1,0.3-0.4,2571,0.3516999352948796,0.3570595099183197
meta_small_v1,0.4-0.5,3239,0.45151479304210335,0.4726767520839765
meta_small_v1,0.5-0.6,3830,0.553064678709707,0.5616187989556136
meta_small_v1,0.6-0.7,5071,0.6512043615008505,0.6205876552948136
meta_small_v1,0.7-0.8,5523,0.7501395333266186,0.7434365381133442
meta_small_v1,0.8-0.9,4976,0.8489049743872169,0.8512861736334405
meta_small_v1,0.9-1.0,7414,0.9648396561295867,0.9657404909630429
phase_beta_cap14,0.0-0.1,139,0.07760283340133742,0.07194244604316546
phase_beta_cap14,0.1-0.2,1092,0.15953383383152603,0.16666666666666666
phase_beta_cap14,0.2-0.3,1927,0.2518037329724509,0.2511676180591593
phase_beta_cap14,0.3-0.4,2470,0.35232738814420367,0.3522267206477733
phase_beta_cap14,0.4-0.5,3156,0.45246361941555235,0.4619771863117871
phase_beta_cap14,0.5-0.6,4039,0.5528919986677655,0.557563753404308
phase_beta_cap14,0.6-0.7,5314,0.6514555447290673,0.629469326307866
phase_beta_cap14,0.7-0.8,5415,0.7496389913049664,0.7481071098799631
phase_beta_cap14,0.8-0.9,4942,0.8485096668558785,0.8518818292189397
phase_beta_cap14,0.9-1.0,7370,0.9651742982226432,0.9616010854816825
phase_logistic_cap14,0.0-0.1,133,0.07808148648634505,0.05263157894736842
phase_logistic_cap14,0.1-0.2,1227,0.1583048206067853,0.17440912795436023
phase_logistic_cap14,0.2-0.3,1978,0.25058009926185604,0.25783619817997977
phase_logistic_cap14,0.3-0.4,2446,0.35152018639350907,0.3593622240392477
phase_logistic_cap14,0.4-0.5,3011,0.45202916807835636,0.4629691132514115
phase_logistic_cap14,0.5-0.6,3815,0.5525235224062063,0.5606815203145479
phase_logistic_cap14,0.6-0.7,5163,0.6517421963231935,0.6217315514235909
phase_logistic_cap14,0.7-0.8,5526,0.7502900588427999,0.741585233441911
phase_logistic_cap14,0.8-0.9,5276,0.8490464762683172,0.8485595147839272
phase_logistic_cap14,0.9-1.0,7289,0.9608658787838749,0.9632322678007957
raw_mu_sigma,0.0-0.1,53,0.08200854557531412,0.09433962264150944
raw_mu_sigma,0.1-0.2,759,0.1630260062635639,0.13965744400527008
raw_mu_sigma,0.2-0.3,1750,0.2528107353559355,0.22228571428571428
raw_mu_sigma,0.3-0.4,2442,0.35274465825234774,0.3345618345618346
raw_mu_sigma,0.4-0.5,3327,0.45290818132758626,0.4379320709347761
raw_mu_sigma,0.5-0.6,4378,0.552812732974111,0.5527638190954773
raw_mu_sigma,0.6-0.7,5930,0.6507343159595577,0.6320404721753794
raw_mu_sigma,0.7-0.8,6001,0.7495687734708675,0.7667055490751541
raw_mu_sigma,0.8-0.9,5964,0.8508938370882444,0.892018779342723
raw_mu_sigma,0.9-1.0,5260,0.9439031917417869,0.9669201520912547
