variant,holdout_season,n_games,n_lined,Dec15_MAE_all,Dec15_MAE_lined
HistGradientBoostingAbsoluteBlend,2019,4167,4051,9.108993056481824,8.971242501653041
HistGradientBoostingSquaredBlend,2019,4167,4051,9.07230496599659,8.947639175715608
LightGBMRegressionL2Blend,2019,4167,4051,9.050787681488426,8.930515743428604
HistGradientBoostingAbsoluteBlend,2020,3830,3724,8.974348230297231,8.793014398108387
HistGradientBoostingSquaredBlend,2020,3830,3724,8.95317938992447,8.806454384189662
LightGBMRegressionL2Blend,2020,3830,3724,8.945465163553832,8.801394825261921
HistGradientBoostingAbsoluteBlend,2022,3989,3838,8.891600254541803,8.694744068646616
HistGradientBoostingSquaredBlend,2022,3989,3838,8.843080402105915,8.68755543524598
LightGBMRegressionL2Blend,2022,3989,3838,8.84869641000645,8.69040952089912
HistGradientBoostingAbsoluteBlend,2023,4118,4018,8.987736287826907,8.85566506654834
HistGradientBoostingSquaredBlend,2023,4118,4018,8.987028254918863,8.861632918967171
LightGBMRegressionL2Blend,2023,4118,4018,8.980832477514262,8.858118878321966
HistGradientBoostingAbsoluteBlend,2024,4249,3828,9.230360559641232,9.041922127251311
HistGradientBoostingSquaredBlend,2024,4249,3828,9.207177383159634,9.02892622438934
LightGBMRegressionL2Blend,2024,4249,3828,9.201444558607173,9.022021852077666
HistGradientBoostingAbsoluteBlend,2025,4184,3718,9.169806815274297,8.911124791254222
HistGradientBoostingSquaredBlend,2025,4184,3718,9.19263425355617,8.975955877008834
LightGBMRegressionL2Blend,2025,4184,3718,9.234469693219074,9.010859954187449
HistGradientBoostingAbsoluteBlend,2026,3195,3069,8.947548674611367,8.814127135806798
HistGradientBoostingSquaredBlend,2026,3195,3069,8.870796667040372,8.79074096405467
LightGBMRegressionL2Blend,2026,3195,3069,8.85200134435418,8.773735757035087
