variant,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
HistGradientBoostingAbsoluteBlend,probability,"[0.5, 0.55)",15569,0.5240353092706856,0.5058192163455322,-0.03411791497089204
HistGradientBoostingAbsoluteBlend,probability,"[0.55, 0.6)",11081,0.5729833803144527,0.5130418976642733,-0.020411679287232032
HistGradientBoostingAbsoluteBlend,probability,"[0.6, 0.65)",6197,0.6219756350163042,0.5153044610875936,-0.01609283084190297
HistGradientBoostingAbsoluteBlend,probability,"[0.65, 0.7)",2835,0.6716023635043378,0.5438782731776363,0.03819143819143819
HistGradientBoostingAbsoluteBlend,probability,"[0.7, 0.75)",1143,0.7210666280624024,0.539543057996485,0.029905352739998406
HistGradientBoostingAbsoluteBlend,probability,"[0.75, 0.8)",442,0.771256289132961,0.5821917808219178,0.11044837515425752
HistGradientBoostingAbsoluteBlend,probability,"[0.8, 0.85)",175,0.8187905033260248,0.5804597701149425,0.10753246753246755
HistGradientBoostingAbsoluteBlend,probability,"[0.85, 1.01)",186,0.9070248774289126,0.6864864864864865,0.30889540566959917
HistGradientBoostingAbsoluteBlend,edge,"[0.0, 0.02)",5935,0.5335012035281478,0.5077157876886552,-0.030527686298537176
HistGradientBoostingAbsoluteBlend,edge,"[0.02, 0.04)",5274,0.5534469288061049,0.5092716497801567,-0.027527838108042883
HistGradientBoostingAbsoluteBlend,edge,"[0.04, 0.06)",4545,0.573267196629564,0.5133879176809029,-0.019781978197819777
HistGradientBoostingAbsoluteBlend,edge,"[0.06, 0.08)",3636,0.5934303166748285,0.5178818963127253,-0.011226122612261217
HistGradientBoostingAbsoluteBlend,edge,"[0.08, 0.1)",2907,0.6132377317784099,0.5069492703266157,-0.031866654157675825
HistGradientBoostingAbsoluteBlend,edge,"[0.1, 0.15)",4294,0.6456799641772795,0.5216475544114205,-0.00410721090739721
HistGradientBoostingAbsoluteBlend,edge,"[0.15, 1.0)",3147,0.7311809596328956,0.5662727563078889,0.08065401392379466
LightGBMRegressionL2Blend,probability,"[0.5, 0.55)",15579,0.5242362216664421,0.49828623164974456,-0.04836347297352495
LightGBMRegressionL2Blend,probability,"[0.55, 0.6)",11208,0.5732074618245391,0.5130161579892281,-0.020480500940886374
LightGBMRegressionL2Blend,probability,"[0.6, 0.65)",6264,0.6221277861460994,0.5220469906662375,-0.0033379774759085055
LightGBMRegressionL2Blend,probability,"[0.65, 0.7)",2751,0.671376462084096,0.526508226691042,0.0051221043587455755
LightGBMRegressionL2Blend,probability,"[0.7, 0.75)",1117,0.7206701502501455,0.5565529622980251,0.06234231301375436
LightGBMRegressionL2Blend,probability,"[0.75, 0.8)",394,0.7703434554689835,0.6055979643765903,0.1557452699584679
LightGBMRegressionL2Blend,probability,"[0.8, 0.85)",147,0.8201509446269623,0.593103448275862,0.13048855905998763
LightGBMRegressionL2Blend,probability,"[0.85, 1.01)",168,0.9095434271834341,0.7083333333333334,0.3522727272727273
LightGBMRegressionL2Blend,edge,"[0.0, 0.02)",6113,0.53354707866656,0.5037061439631033,-0.03811549157533125
LightGBMRegressionL2Blend,edge,"[0.02, 0.04)",5347,0.5536794032694003,0.5107263831388784,-0.02482275532584116
LightGBMRegressionL2Blend,edge,"[0.04, 0.06)",4504,0.5737415286890217,0.510600312430261,-0.025088809946714034
LightGBMRegressionL2Blend,edge,"[0.06, 0.08)",3730,0.5935224565307978,0.5156841535965386,-0.015378990982208133
LightGBMRegressionL2Blend,edge,"[0.08, 0.1)",2877,0.6134604619243063,0.5125786163522013,-0.02132903592757607
LightGBMRegressionL2Blend,edge,"[0.1, 0.15)",4344,0.6454681080082667,0.5297397769516728,0.011217143813828894
LightGBMRegressionL2Blend,edge,"[0.15, 1.0)",2960,0.7296418380000566,0.56391997287216,0.07628992628992629
