variant,holdout_season,rows,lined_rows,cover_logloss,cover_brier,all_pick_winrate,all_pick_roi,pick_prob_edge_mean,prob80_n,prob80_roi,prob85_n,prob85_roi,edge10_n,edge10_roi,edge15_n,edge15_roi,top100_roi,top100_winrate,top100_avg_prob,top200_roi,top200_winrate,top200_avg_prob,top500_roi,top500_winrate,top500_avg_prob
HistGradientBoostingAbsoluteBlend,2019,4167,4051,0.7127390659710765,0.25861919366943165,0.5119316754584275,-0.022284060052512277,0.05456560586772232,30,0.018181818181818188,17,0.010695187165775399,825,-0.02512396694214876,361,0.013346764039284822,0.07,0.5612244897959183,0.798226740186195,0.045909090909090906,0.5482233502538071,0.7607994827756531,0.0009090909090909083,0.5242914979757085,0.7101195392193674
LightGBMRegressionL2Blend,2019,4167,4051,0.7094467044447295,0.2569682455898508,0.515950766139161,-0.014743834294562504,0.054273849141330134,28,-0.1461038961038961,12,-0.20454545454545456,793,-0.021666857732431502,314,-0.008685581933989567,0.06,0.5555555555555556,0.7882440313416502,0.04545454545454545,0.5477386934673367,0.7521725890197822,-0.006545454545454536,0.5203252032520326,0.7030915724363479
HistGradientBoostingAbsoluteBlend,2020,3830,3724,0.69969736928241,0.25320344062218947,0.5058663028649386,-0.03371252807343032,0.026473894796926866,3,0.9090909090909091,3,0.9090909090909091,214,-0.0666949872557349,50,0.18545454545454543,0.041818181818181824,0.5463917525773195,0.6933644536671099,-0.054090909090909085,0.49489795918367346,0.6650633931339727,-0.0749090909090909,0.48360655737704916,0.6310849130763297
LightGBMRegressionL2Blend,2020,3830,3724,0.6994858438009499,0.25312724678637905,0.5061391541609823,-0.03319988282394297,0.026166808199469253,3,0.9090909090909091,3,0.9090909090909091,192,-0.039299242424242424,38,0.23205741626794255,-0.015454545454545459,0.5154639175257731,0.6781566145730732,-0.03954545454545455,0.5025641025641026,0.6550221029222615,-0.019636363636363636,0.5132924335378323,0.6255139125832302
HistGradientBoostingAbsoluteBlend,2022,3989,3838,0.7068649055964377,0.2563141239481754,0.5118796198521647,-0.02247856364583826,0.052090684285855754,20,0.049999999999999975,6,0.5909090909090909,708,0.0088597842835131,297,0.05448423630241812,0.11727272727272725,0.5858585858585859,0.7710654062120706,0.007272727272727271,0.5276381909547738,0.7388469844556682,0.04836363636363637,0.5492957746478874,0.6947079723627387
LightGBMRegressionL2Blend,2022,3989,3838,0.7063213159484723,0.2561164646747319,0.5102956705385427,-0.025463072623051773,0.05125421493188053,14,0.0909090909090909,8,0.43181818181818177,747,0.012656687355482539,259,-0.037557037557037556,-0.03545454545454547,0.5050505050505051,0.7594221679363146,-0.002272727272727271,0.5226130653266332,0.7297535002703763,0.03890909090909091,0.5443548387096774,0.6889318544960652
HistGradientBoostingAbsoluteBlend,2023,4118,4018,0.7061102780179672,0.25565489593260027,0.5069686411149826,-0.03215077605321507,0.04838835988380405,19,0.20574162679425836,11,-0.1322314049586777,663,0.04236939531057179,219,0.15940224159402241,0.03090909090909089,0.54,0.7621043668733951,0.1740909090909091,0.615,0.7272170993201885,0.06527272727272727,0.558,0.6836260333426933
LightGBMRegressionL2Blend,2023,4118,4018,0.7069596969779738,0.2562464439010537,0.49825783972125437,-0.04878048780487805,0.04859155456413494,13,-0.11888111888111888,6,-0.3636363636363636,669,0.027313493681206686,240,0.0659090909090909,-0.026363636363636356,0.51,0.7516818633775207,0.05954545454545453,0.555,0.723299739376611,0.004181818181818192,0.526,0.6840524791913538
HistGradientBoostingAbsoluteBlend,2024,4249,3828,0.7104423799320515,0.25805968363480575,0.5120167189132706,-0.022513536620119685,0.052465429905031856,6,-0.3636363636363636,1,-1.0,752,-0.002296905222437129,289,-0.015728216420257936,-0.00727272727272726,0.52,0.7512031178793798,-0.0168181818181818,0.515,0.7284357530726703,-0.01109090909090909,0.518,0.6911941051845643
LightGBMRegressionL2Blend,2024,4249,3828,0.7098297425467112,0.2578573652143622,0.5047021943573667,-0.03647762895411797,0.05020629518475838,6,-0.045454545454545435,1,-1.0,684,-0.03429027113237639,236,-0.0211864406779661,-0.04545454545454545,0.5,0.7420927597477059,0.01181818181818183,0.53,0.7194962250825061,-0.037818181818181806,0.504,0.6825801169565253
