page_label,group,slice,note,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
Internal Candidate Bets,promoted_internal_filter,full,Main shortlist on the betting tab. Excludes NCAA caution rows.,2798,1669,1129,0,0.5964974982130093,0.13876795113392681,6.255985584241529e-15,0.10717483507832398,0.6108041038074961,5.988904037427837,0.07112223016440314,0.42101501072194425,0.16726233023588277
Internal Candidate Bets,promoted_internal_filter,feb15_plus,Main shortlist on the betting tab. Excludes NCAA caution rows.,335,191,144,0,0.5701492537313433,0.08846675712347353,0.04990983442224379,0.08580964091828965,0.5994069709519615,4.381431073662542,0.04776119402985075,0.43582089552238806,0.28955223880597014
Internal Candidate Bets,promoted_internal_filter,march_only,Main shortlist on the betting tab. Excludes NCAA caution rows.,156,93,63,0,0.5961538461538461,0.1381118881118881,0.04150521173787988,0.08131884744273328,0.6060652030960088,4.009184424907774,0.10256410256410256,0.44871794871794873,0.6217948717948718
Internal Candidate Bets,promoted_internal_filter,conference_tournaments,Main shortlist on the betting tab. Excludes NCAA caution rows.,105,65,40,0,0.6190476190476191,0.18181818181818185,0.03117151518054952,0.08207406488376899,0.6127756997922389,3.6509215239266606,0.1523809523809524,0.44761904761904764,0.9142857142857143
Internal Candidate Bets,promoted_internal_filter,ncaa_tournament,Main shortlist on the betting tab. Excludes NCAA caution rows.,0,0,0,0,,,,,,,,,
Raw-Edge Watchlist,raw_only,full,Games the raw edge baseline liked but the promoted filter rejected.,5994,3035,2959,0,0.5063396730063396,-0.03335153335153334,0.9967358683271673,0.13049146591215954,0.5139781487283017,2.0425677085501497,0.0652318985652319,0.3213213213213213,0.11294627961294627
Raw-Edge Watchlist,raw_only,feb15_plus,Games the raw edge baseline liked but the promoted filter rejected.,1340,645,695,0,0.48134328358208955,-0.08107191316146539,0.9991489140580289,0.12633829019446152,0.5144911127720103,1.841750517626502,0.016417910447761194,0.41940298507462687,0.21119402985074626
Raw-Edge Watchlist,raw_only,march_only,Games the raw edge baseline liked but the promoted filter rejected.,615,294,321,0,0.47804878048780486,-0.08736141906873612,0.9895886779606514,0.1257019277693816,0.5150690507486682,1.7574237713039107,0.013008130081300813,0.4211382113821138,0.4585365853658537
Raw-Edge Watchlist,raw_only,conference_tournaments,Games the raw edge baseline liked but the promoted filter rejected.,246,125,121,0,0.508130081300813,-0.029933481152993338,0.7111692852553793,0.12000723959183009,0.5205408339645463,1.5662895498096323,0.0,0.44715447154471544,0.8861788617886179
Raw-Edge Watchlist,raw_only,ncaa_tournament,Games the raw edge baseline liked but the promoted filter rejected.,55,23,32,0,0.41818181818181815,-0.20165289256198352,0.9558362742750753,0.1341536050242869,0.5149216073937228,2.2627525330222826,0.05454545454545454,0.41818181818181815,1.0
