season,game_date,slice,gameId,game,final_score,pick_team,model_pick_side,hoops_edge_line_for_pick,market_line_for_pick,pick_prob_edge,disagreement_logit_score,he_market_edge_for_pick,abs_he_vs_market_edge,disagreement_context,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,is_conference_tournament,is_ncaa_tournament,signal_driver,bet_result,roi_per_1_at_minus_110
2020,2019-11-08,full,30328,Incarnate Word at Northern Colorado,Incarnate Word 61 - Northern Colorado 83,Northern Colorado,HOME,-16.06350310669825,-15.0,0.009565523270159026,0.6389152534231994,8.058052741552693,8.058052741552693,none,0.0,0.0,False,False,False,disagreement-led support,win,0.9090909090909091
2020,2019-11-08,full,30282,UMass Lowell at Long Island University,UMass Lowell 87 - Long Island University 74,Long Island University,HOME,-8.436359124909714,-4.5,0.0702907991926146,0.6262447871403225,7.094648225004268,7.094648225004268,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-09,full,30377,Canisius at Brown,Canisius 68 - Brown 75,Brown,HOME,-11.609695392928842,-7.5,0.0775695085660505,0.5814691936945026,4.382397724276421,4.382397724276421,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-11,full,30453,Florida Gulf Coast at Dartmouth,Florida Gulf Coast 49 - Dartmouth 55,Dartmouth,HOME,-10.432763710852043,-8.5,0.04691751196899374,0.5956868244932021,5.338997049319747,5.338997049319747,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-12,full,30538,Miami at UCF,Miami 79 - UCF 70,UCF,HOME,0.5769705785422161,3.0,0.052040113045051295,0.7141385943200709,12.650173180479483,12.650173180479483,none,1.0,1.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-12,full,30504,The Citadel at Georgia,The Citadel 86 - Georgia 95,The Citadel,AWAY,26.00774001237471,28.0,0.031191982554675257,0.6156596576187976,6.2107263124099354,6.2107263124099354,none,0.0,0.0,False,False,False,disagreement-led support,win,0.9090909090909091
2020,2019-11-12,full,30491,Air Force at Army,Air Force 69 - Army 57,Army,HOME,-1.889028618501591,1.0,0.043380798465949,0.6107729927943225,10.17422120909613,10.17422120909613,new/transient,0.0,0.0,False,False,False,disagreement-led new/transient,loss,-1.0
2020,2019-11-13,full,30586,Monmouth at Kansas State,Monmouth 54 - Kansas State 73,Kansas State,HOME,-18.512033696884714,-17.0,0.01261137168412807,0.6599278598410185,9.410255850815759,9.410255850815759,none,0.0,0.0,False,False,False,disagreement-led support,win,0.9090909090909091
2020,2019-11-13,full,30587,Eastern Washington at Saint Louis,Eastern Washington 60 - Saint Louis 82,Saint Louis,HOME,-8.784079296853605,-8.5,-0.017435870274308596,0.6269275328404965,8.017025540480967,8.017025540480967,none,1.0,1.0,False,False,False,disagreement-led support,win,0.9090909090909091
2020,2019-11-13,full,30575,McNeese at Wisconsin,McNeese 63 - Wisconsin 83,Wisconsin,HOME,-25.374126644106582,-23.0,0.049763541285299584,0.6054330070845634,5.937586582193525,5.937586582193525,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
