season,game_date,slice,gameId,game,final_score,pick_team,model_pick_side,hoops_edge_line_for_pick,market_line_for_pick,pick_prob_edge,disagreement_logit_score,he_market_edge_for_pick,abs_he_vs_market_edge,disagreement_context,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,is_conference_tournament,is_ncaa_tournament,signal_driver,bet_result,roi_per_1_at_minus_110
2022,2022-03-15,ncaa_tournament,24649,Indiana at Wyoming,Indiana 66 - Wyoming 58,Wyoming,HOME,1.1304773092269897,4.5,0.09248866559811997,0.6765097816724318,3.7957973964429783,3.7957973964429783,none,0.0,0.0,True,False,True,raw edge led,loss,-1.0
2022,2022-03-15,ncaa_tournament,24648,Texas A&M-Corpus Christi at Texas Southern,Texas A&M-Corpus Christi 67 - Texas Southern 76,Texas Southern,HOME,-3.5520989894866943,-3.5,-0.021547949944430433,0.6163194840013388,2.017809398890548,2.017809398890548,persistent,6.0,23.0,True,False,True,disagreement-led persistent,win,0.9090909090909091
2022,2022-03-16,ncaa_tournament,24665,Bryant at Wright State,Bryant 82 - Wright State 93,Bryant,AWAY,0.3536662459373474,2.5,0.05460932015001274,0.6494405651248663,1.2099812385420927,1.2099812385420927,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-16,ncaa_tournament,24666,Notre Dame at Rutgers,Notre Dame 89 - Rutgers 87,Notre Dame,AWAY,-0.02474910020828247,1.0,0.012162599931344498,0.6273150603065497,0.844526229329845,0.844526229329845,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24679,Longwood at Tennessee,Longwood 56 - Tennessee 88,Longwood,AWAY,8.823603630065918,18.0,0.24014487709880805,0.7250086224112325,5.823436985022383,5.823436985022383,persistent,4.0,28.0,True,False,True,raw edge + persistent disagreement support,loss,-1.0
2022,2022-03-17,ncaa_tournament,24687,Vermont at Arkansas,Vermont 71 - Arkansas 75,Vermont,AWAY,-0.07887464761734009,5.5,0.1587442815172424,0.7229561706486252,8.247373129658458,8.247373129658458,persistent,5.0,19.0,True,False,True,raw edge + persistent disagreement support,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24690,Texas Southern at Kansas,Texas Southern 56 - Kansas 83,Texas Southern,AWAY,16.88724708557129,22.0,0.13157899931678607,0.7183423597324208,8.650743002541684,8.650743002541684,persistent,7.0,24.0,True,False,True,raw edge + persistent disagreement support,loss,-1.0
2022,2022-03-17,ncaa_tournament,24678,Norfolk State at Baylor,Norfolk State 49 - Baylor 85,Norfolk State,AWAY,15.211372375488281,20.5,0.14490436183973154,0.6996984950799184,6.526703682521836,6.526703682521836,persistent,6.0,19.0,True,False,True,raw edge + persistent disagreement support,loss,-1.0
2022,2022-03-17,ncaa_tournament,24677,Memphis at Boise State,Memphis 64 - Boise State 53,Boise State,HOME,-2.593524217605591,3.5,0.17888629103505693,0.6972604156566119,4.317370352004625,4.317370352004625,none,0.0,0.0,True,False,True,raw edge led,loss,-1.0
2022,2022-03-17,ncaa_tournament,24684,Saint Peter's at Kentucky,Saint Peter's 85 - Kentucky 79,Saint Peter's,AWAY,13.217123031616211,18.5,0.16753945968727402,0.6964135845098475,6.451080192648149,6.451080192648149,persistent,7.0,8.0,True,False,True,raw edge + persistent disagreement support,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24688,Akron at UCLA,Akron 53 - UCLA 57,Akron,AWAY,10.968599319458008,13.5,0.07340778212299792,0.6829973785494732,4.446629520253445,4.446629520253445,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24676,South Dakota State at Providence,South Dakota State 57 - Providence 66,South Dakota State,AWAY,1.6188437938690186,2.5,0.0024689912658494295,0.6617617744519733,3.3998485776318246,3.3998485776318246,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-17,ncaa_tournament,24689,San Francisco at Murray State,San Francisco 87 - Murray State 92,Murray State,HOME,-2.0025553703308105,-2.0,-0.023727380131198128,0.6470256529901839,3.298392345192795,3.298392345192795,persistent,4.0,11.0,True,False,True,disagreement-led persistent,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24681,Georgia State at Gonzaga,Georgia State 72 - Gonzaga 93,Georgia State,AWAY,16.137126922607422,22.5,0.19547771018099935,0.6457808838913239,0.4033803308027437,0.4033803308027437,none,0.0,0.0,True,False,True,raw edge led,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24686,Creighton at San Diego State,Creighton 72 - San Diego State 69,Creighton,AWAY,0.7583900094032288,2.5,0.03870149291022573,0.624695700671548,0.25935010494248534,0.25935010494248534,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-17,ncaa_tournament,24680,Richmond at Iowa,Richmond 67 - Iowa 63,Richmond,AWAY,8.402132034301758,9.5,0.011890879677708077,0.5867437276814582,-1.4941558013995824,1.4941558013995824,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24692,Jacksonville State at Auburn,Jacksonville State 61 - Auburn 80,Jacksonville State,AWAY,10.071208953857422,14.5,0.09890804449292301,0.7105664738797326,5.5322106377947655,5.5322106377947655,persistent,3.0,5.0,True,False,True,raw edge + persistent disagreement support,loss,-1.0
2022,2022-03-18,ncaa_tournament,24700,Cal State Fullerton at Duke,Cal State Fullerton 61 - Duke 78,Cal State Fullerton,AWAY,12.518692016601562,18.5,0.1772827221290707,0.7067256787236883,4.987956885931981,4.987956885931981,none,0.0,0.0,True,False,True,raw edge led,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24697,Notre Dame at Alabama,Notre Dame 78 - Alabama 64,Notre Dame,AWAY,3.0087389945983887,4.5,0.024762476626497887,0.6748583111473214,4.617563782331257,4.617563782331257,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24705,TCU at Seton Hall,TCU 69 - Seton Hall 42,TCU,AWAY,0.0863613486289978,1.5,0.024851846584580506,0.6741125858195184,3.8182472350468233,3.8182472350468233,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24695,Delaware at Villanova,Delaware 60 - Villanova 80,Delaware,AWAY,11.33829402923584,15.0,0.09345107186585644,0.6710367101709286,3.100948390681779,3.100948390681779,none,0.0,0.0,True,False,True,raw edge led,loss,-1.0
2022,2022-03-18,ncaa_tournament,24706,Colgate at Wisconsin,Colgate 60 - Wisconsin 67,Colgate,AWAY,7.371687412261963,7.5,-0.019464662414377387,0.6586475648695231,3.4126151250231604,3.4126151250231604,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24701,Wright State at Arizona,Wright State 70 - Arizona 87,Wright State,AWAY,18.44715118408203,21.5,0.07500642640546384,0.6580459495047967,2.250758494300074,2.250758494300074,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24694,Yale at Purdue,Yale 56 - Purdue 78,Yale,AWAY,14.245918273925781,16.5,0.05235777680261455,0.6564351607853295,2.7560696274397927,2.7560696274397927,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-18,ncaa_tournament,24698,Virginia Tech at Texas,Virginia Tech 73 - Texas 81,Virginia Tech,AWAY,0.9343105554580688,1.5,-0.004564245619651519,0.6460843405984269,2.0144665426837385,2.0144665426837385,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-18,ncaa_tournament,24696,Miami at USC,Miami 68 - USC 66,Miami,AWAY,1.3325581550598145,2.5,0.01735289685359709,0.6456222297538503,2.365145429990659,2.365145429990659,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24699,Chattanooga at Illinois,Chattanooga 53 - Illinois 54,Chattanooga,AWAY,7.393146514892578,7.5,-0.020091518337722825,0.6447719260951875,2.2277572379710326,2.2277572379710326,none,0.0,0.0,True,False,True,disagreement-led support,win,0.9090909090909091
2022,2022-03-18,ncaa_tournament,24693,Montana State at Texas Tech,Montana State 62 - Texas Tech 97,Montana State,AWAY,11.015950202941895,15.0,0.11441044430879799,0.6110173143348235,-0.7416401592708919,0.7416401592708919,none,0.0,0.0,True,False,True,raw edge led,loss,-1.0
2022,2022-03-18,ncaa_tournament,24704,UAB at Houston,UAB 68 - Houston 82,UAB,AWAY,8.317750930786133,8.5,-0.017818572962962298,0.5861789781646194,-1.415063940534445,1.415063940534445,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-19,ncaa_tournament,24714,Saint Mary's at UCLA,Saint Mary's 56 - UCLA 72,Saint Mary's,AWAY,0.5964241027832031,2.5,0.05152744918482044,0.6805154152004825,4.707699158090735,4.707699158090735,none,0.0,0.0,True,False,True,disagreement-led support,loss,-1.0
2022,2022-03-19,ncaa_tournament,24711,Creighton at Kansas,Creighton 72 - Kansas 79,Creighton,AWAY,7.034371376037598,13.0,0.15822251590247016,0.6674731211349036,1.944573331934988,1.944573331934988,none,0.0,0.0,True,False,True,raw edge led,win,0.9090909090909091
