season,game_date,slice,gameId,game,final_score,pick_team,model_pick_side,hoops_edge_line_for_pick,market_line_for_pick,pick_prob_edge,disagreement_logit_score,he_market_edge_for_pick,abs_he_vs_market_edge,disagreement_context,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,is_conference_tournament,is_ncaa_tournament,signal_driver,bet_result,roi_per_1_at_minus_110
2020,2019-11-05,full,30061,Louisville at Miami,Louisville 87 - Miami 74,Miami,HOME,-28.811019135779787,6.5,0.44703840531370365,0.5974273028147813,5.042731743141701,5.042731743141701,new/transient,0.0,0.0,False,False,False,raw edge + new disagreement support,loss,-1.0
2020,2019-11-08,full,30289,William & Mary at American University,William & Mary 79 - American University 70,American University,HOME,-7.666196060690169,-3.5,0.13526623024846507,0.5800180374148978,3.7699719204309856,3.7699719204309856,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-10,full,30412,UMass Lowell at Ohio State,UMass Lowell 56 - Ohio State 76,Ohio State,HOME,-26.10704846467081,-23.0,0.08249312231877659,0.5959175167855746,5.276024342491034,5.276024342491034,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-11,full,30452,Jacksonville at Bowling Green,Jacksonville 59 - Bowling Green 75,Bowling Green,HOME,-10.27315852855363,10.0,0.39907994017159776,0.7153513743531372,12.12628242542927,12.12628242542927,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-12,full,30489,Mississippi Valley State at Western Michigan,Mississippi Valley State 81 - Western Michigan 91,Mississippi Valley State,AWAY,20.175952797872156,28.5,0.18951713180591434,0.6280355400908479,5.874322879765614,5.874322879765614,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-12,full,30541,Fresno State at San Diego,Fresno State 66 - San Diego 72,San Diego,HOME,-3.785571242474795,2.5,0.22620444267089979,0.5849813788476693,3.8738091268461856,3.8738091268461856,none,1.0,1.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-12,full,30494,Maryland Eastern Shore at Longwood,Maryland Eastern Shore 55 - Longwood 85,Longwood,HOME,-18.565191637237717,-14.5,0.09741067355911992,0.5820593144905944,4.114774198734915,4.114774198734915,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-13,full,30594,Southern Utah at BYU,Southern Utah 63 - BYU 68,BYU,HOME,-16.615734795855815,-11.5,0.09049571640347265,0.6304191794469587,7.522686696248359,7.522686696248359,none,1.0,1.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-13,full,30557,Lafayette at Princeton,Lafayette 72 - Princeton 65,Princeton,HOME,-11.703307806309226,-6.0,0.09817817612970903,0.62698068721394,7.368471528872613,7.368471528872613,none,1.0,1.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-13,full,30592,Oklahoma State at Charleston,Oklahoma State 73 - Charleston 54,Charleston,HOME,1.677124218528668,4.0,0.08081455874431664,0.6002345757513948,9.317985124507445,9.317985124507445,new/transient,0.0,0.0,False,False,False,raw edge + new disagreement support,loss,-1.0
2020,2019-11-13,full,30591,Cal State Fullerton at Wyoming,Cal State Fullerton 60 - Wyoming 53,Cal State Fullerton,AWAY,-1.8083479169533447,3.0,0.1613133863783679,0.5878188980919082,4.217471635482188,4.217471635482188,none,1.0,1.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-15,full,30648,Lipscomb at Duquesne,Lipscomb 36 - Duquesne 58,Lipscomb,AWAY,5.807116721503007,9.5,0.14233048359226852,0.7982022350149524,18.46821793192705,18.46821793192705,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-15,full,30651,Delaware State at Georgia,Delaware State 66 - Georgia 100,Delaware State,AWAY,29.02609189169823,32.5,0.09665969582274758,0.6673202240535893,8.35413329324776,8.35413329324776,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-15,full,30632,Montana State at App State,Montana State 59 - App State 56,Montana State,AWAY,5.205949314511955,15.0,0.2432651915753875,0.6493697186139937,9.49854477237181,9.49854477237181,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-15,full,30663,Youngstown State at Louisiana,Youngstown State 61 - Louisiana 73,Louisiana,HOME,-9.322235338425173,1.0,0.3440072522037002,0.6226621146964978,5.334467766798641,5.334467766798641,none,1.0,1.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-15,full,30633,Merrimack at Dartmouth,Merrimack 46 - Dartmouth 55,Merrimack,AWAY,2.181227967483693,7.0,0.10495743031702043,0.62021830418075,8.821087342849873,8.821087342849873,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,loss,-1.0
2020,2019-11-15,full,30635,North Dakota State at UT Rio Grande Valley,North Dakota State 76 - UT Rio Grande Valley 70,North Dakota State,AWAY,-0.8387691314106505,5.0,0.15408113034466142,0.5875898437958227,3.7985232568757117,3.7985232568757117,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-16,full,30760,USC at Nevada,USC 76 - Nevada 66,Nevada,HOME,0.10894174738141515,3.5,0.10522284343769506,0.7034908079760499,11.54107310075645,11.54107310075645,none,1.0,1.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-16,full,30725,UT Rio Grande Valley at Stony Brook,UT Rio Grande Valley 58 - Stony Brook 69,Stony Brook,HOME,-3.5966338216756846,1.5,0.18285808118105773,0.6611090063939178,8.899131037257867,8.899131037257867,persistent,2.0,2.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-16,full,30728,Montana State at UNC Greensboro,Montana State 67 - UNC Greensboro 66,UNC Greensboro,HOME,-14.826540786423394,4.0,0.4483063913771931,0.629960043611337,5.336609873184133,5.336609873184133,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-16,full,30726,Washington at Tennessee,Washington 62 - Tennessee 75,Tennessee,HOME,-2.0823469472281175,1.0,0.08261661625067951,0.602123787124079,5.769187543865088,5.769187543865088,none,1.0,1.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-16,full,30750,UIC at Bradley,UIC 56 - Bradley 65,Bradley,HOME,-15.564258807364979,-12.5,0.08586241975243447,0.5940012992824885,5.137656074349817,5.137656074349817,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-16,full,30724,Rice at UC Santa Barbara,Rice 82 - UC Santa Barbara 81,Rice,AWAY,3.3794267204318444,9.5,0.19330973752988845,0.5838268113972009,3.4925802431790975,3.4925802431790975,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-17,full,30795,Indiana State at Ball State,Indiana State 55 - Ball State 69,Ball State,HOME,-4.819860312387689,2.0,0.19748856402961135,0.6998514953424447,11.11152188444373,11.11152188444373,none,1.0,1.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-17,full,30778,Yale at Oklahoma State,Yale 57 - Oklahoma State 64,Yale,AWAY,9.9922846726611,13.0,0.08999247043091285,0.6379880180241951,7.493757260229176,7.493757260229176,none,1.0,1.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-17,full,30791,Rider at Arizona State,Rider 55 - Arizona State 92,Arizona State,HOME,-15.818899850159113,-11.5,0.17580231995964024,0.623698434336912,6.376400176729783,6.376400176729783,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-17,full,30769,Jacksonville at Merrimack,Jacksonville 44 - Merrimack 54,Merrimack,HOME,-0.3837119175348729,2.5,0.08630103540095313,0.62039644739476,7.332704523212872,7.332704523212872,persistent,2.0,2.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-17,full,30782,Dartmouth at UMass Lowell,Dartmouth 80 - UMass Lowell 75,UMass Lowell,HOME,-1.76398273672757,2.5,0.12146480518999836,0.5914289120519632,4.27385137221834,4.27385137221834,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-18,full,30801,App State at UNC Greensboro,App State 41 - UNC Greensboro 55,UNC Greensboro,HOME,-12.88700886110145,-9.5,0.08916612650761724,0.6870089973181611,11.700387939648424,11.700387939648424,persistent,3.0,3.0,False,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-18,full,30813,Monmouth at Pittsburgh,Monmouth 50 - Pittsburgh 63,Pittsburgh,HOME,-17.971698749009704,-15.5,0.08900999893869921,0.599256049881154,4.98470573572801,4.98470573572801,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-19,full,30849,Pennsylvania at Lafayette,Pennsylvania 75 - Lafayette 86,Lafayette,HOME,1.5897451863237961,7.0,0.08496033018196625,0.6701899578637726,9.602693211811092,9.602693211811092,none,1.0,1.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-19,full,30893,Cal State Bakersfield at San Francisco,Cal State Bakersfield 70 - San Francisco 100,San Francisco,HOME,-14.66937365247145,-10.5,0.10126841660835362,0.6428135792100935,8.554533107822074,8.554533107822074,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-20,full,30914,Princeton at Indiana,Princeton 54 - Indiana 79,Princeton,AWAY,12.739979616664641,18.5,0.1859156257839356,0.6631485194721009,9.083500144459745,9.083500144459745,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-20,full,30932,Elon at North Carolina,Elon 61 - North Carolina 75,Elon,AWAY,25.79264828672831,29.5,0.12495001577699838,0.6101520372698224,5.343380460039555,5.343380460039555,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-20,full,30905,Bryant at Drexel,Bryant 74 - Drexel 86,Bryant,AWAY,-2.3661256837633573,4.5,0.19543136254965987,0.601344878914717,4.68286664790727,4.68286664790727,none,1.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-21,full,30945,Villanova at Middle Tennessee,Villanova 98 - Middle Tennessee 69,Villanova,AWAY,-12.38295300712852,19.0,0.4730292713383274,0.8249166726498537,18.683931366250775,18.683931366250775,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-22,full,31039,East Carolina at Evansville,East Carolina 85 - Evansville 68,Evansville,HOME,-2.8934468750589275,6.0,0.19725824519687019,0.6718958852048358,9.016817548390312,9.016817548390312,none,1.0,1.0,True,False,False,raw edge led,loss,-1.0
2020,2019-11-23,full,31102,Iona at Kennesaw State,Iona 75 - Kennesaw State 52,Iona,AWAY,-6.205092968390915,11.5,0.4367214296375518,0.7188090533162781,10.040041187292434,10.040041187292434,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-23,full,31120,Sacramento State at Pepperdine,Sacramento State 77 - Pepperdine 72,Sacramento State,AWAY,2.2427949355621166,9.5,0.19471900847647572,0.632458898953078,6.25412488562948,6.25412488562948,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-23,full,31065,Little Rock at NC State,Little Rock 58 - NC State 74,Little Rock,AWAY,6.2418238092311356,15.5,0.27360070113188395,0.6318656837243767,6.43831545356058,6.43831545356058,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-23,full,31089,UC Davis at Portland,UC Davis 62 - Portland 72,Portland,HOME,-10.470552563123448,-7.0,0.10041903004945163,0.6135695267073702,6.105025121480841,6.105025121480841,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-23,full,31098,Rider at Columbia,Rider 87 - Columbia 63,Rider,AWAY,-3.057057956851196,1.5,0.16464579701280513,0.607112076359477,5.283188946424504,5.283188946424504,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-23,full,31080,Troy at Samford,Troy 60 - Samford 72,Samford,HOME,-12.31013387206491,-8.5,0.11610288384810574,0.5831101020358883,4.312261080195578,4.312261080195578,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-24,full,31169,Wyoming at Colorado,Wyoming 41 - Colorado 56,Colorado,HOME,-14.937321806133355,19.0,0.47603252317080746,0.7375786601612051,11.422615661789568,11.422615661789568,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-24,full,31160,Lamar at Kentucky,Lamar 56 - Kentucky 81,Lamar,AWAY,21.41102686694603,24.5,0.0871509367495904,0.6215083082305627,6.475740479408163,6.475740479408163,none,1.0,1.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-24,full,31129,Arizona State at Virginia,Arizona State 45 - Virginia 48,Virginia,HOME,-4.210135924521964,7.5,0.3440888827662033,0.5863073776180932,4.263124337504798,4.263124337504798,persistent,4.0,4.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-25,full,31214,Cal State Northridge at Green Bay,Cal State Northridge 84 - Green Bay 85,Green Bay,HOME,-13.650303184579741,-10.0,0.13516073714294652,0.6416127488125638,7.581830055248126,7.581830055248126,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-25,full,31218,Northwestern at Bradley,Northwestern 78 - Bradley 51,Bradley,HOME,-2.1702935254015436,3.0,0.17640098792933423,0.5953010937332324,4.567436125052883,4.567436125052883,none,0.0,0.0,True,False,False,raw edge led,loss,-1.0
2020,2019-11-25,full,31177,Alabama State at VCU,Alabama State 62 - VCU 78,Alabama State,AWAY,26.961244336740492,31.5,0.0977779731793812,0.5933953414579601,5.227158821423135,5.227158821423135,persistent,2.0,2.0,False,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-25,full,31223,Stanford at Oklahoma,Stanford 73 - Oklahoma 54,Stanford,AWAY,0.1390880859075807,4.5,0.13495122808346915,0.592396740318052,5.54213778431771,5.54213778431771,persistent,4.0,4.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-25,full,31210,Troy at Alabama A&M,Troy 66 - Alabama A&M 80,Alabama A&M,HOME,1.54921688224805,10.5,0.25896563434745745,0.5907369622715323,3.140010917817877,3.140010917817877,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-26,full,31288,TCU at Wyoming,TCU 64 - Wyoming 47,TCU,AWAY,-10.975244844440681,14.5,0.4679277730643072,0.7370883589313342,10.433899014086123,10.433899014086123,none,1.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-26,full,31231,Murray State at Weber State,Murray State 69 - Weber State 68,Murray State,AWAY,-6.112179888810857,7.5,0.3773218092651973,0.6811707044948235,8.239635755198217,8.239635755198217,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-26,full,31264,Arizona State at Princeton,Arizona State 67 - Princeton 65,Princeton,HOME,1.6972314775973416,10.0,0.23161970734967985,0.6273722501851237,6.811322498313728,6.811322498313728,persistent,3.0,3.0,False,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-26,full,31242,UCLA at Chaminade,UCLA 74 - Chaminade 48,UCLA,AWAY,-16.871483624280245,21.5,0.47470081892698757,0.6073574152688007,0.0,0.0,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-26,full,31283,Colgate at Green Bay,Colgate 99 - Green Bay 81,Green Bay,HOME,-3.628406702935422,3.5,0.21528814432762267,0.5853079206765698,3.4030408150913543,3.4030408150913543,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-27,full,31349,San José State at Oregon State,San José State 48 - Oregon State 83,Oregon State,HOME,-14.746545889381764,20.0,0.47544699355904707,0.7179952284378526,8.201587945237732,8.201587945237732,persistent,2.0,0.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-27,full,31333,Oklahoma State at Syracuse,Oklahoma State 86 - Syracuse 72,Syracuse,HOME,-1.0325667585818437,2.0,0.10009162082593981,0.632782759976457,7.5927759035601,7.5927759035601,persistent,2.0,1.0,True,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-27,full,31337,Cal State Fullerton at Southeast Missouri State,Cal State Fullerton 64 - Southeast Missouri State 57,Cal State Fullerton,AWAY,-3.108198081629247,5.0,0.2425094549836584,0.6220010695279611,5.730973373349256,5.730973373349256,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-27,full,31302,Weber State at Northeastern,Weber State 69 - Northeastern 79,Northeastern,HOME,-8.26458077077693,-5.5,0.08228473208894815,0.6208761650510578,6.793020200083378,6.793020200083378,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-28,full,31364,Iowa at Texas Tech,Iowa 72 - Texas Tech 61,Texas Tech,HOME,-3.145042875163341,7.0,0.30977941558585587,0.6349221940147451,7.041988027151243,7.041988027151243,persistent,4.0,4.0,True,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-28,full,31358,USC at Fairfield,USC 54 - Fairfield 47,USC,AWAY,-11.573859663670646,14.5,0.46314164930547397,0.6279405976599495,3.215616694927993,3.215616694927993,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-28,full,31366,Seton Hall at Southern Miss,Seton Hall 81 - Southern Miss 56,Southern Miss,HOME,12.340773484657802,17.5,0.13702046294459147,0.6079226934143949,6.1810014140179455,6.1810014140179455,persistent,3.0,3.0,True,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-28,full,31356,Providence at Long Beach State,Providence 65 - Long Beach State 66,Providence,AWAY,-19.59976943180959,16.5,0.4755569898366192,0.5977759160959508,-0.4707744259697204,0.4707744259697204,none,0.0,0.0,True,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-28,full,31363,Alabama at Iowa State,Alabama 89 - Iowa State 104,Iowa State,HOME,-4.265895547177422,2.5,0.20311400410257086,0.5948033765392314,6.5383123149735365,6.5383123149735365,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-29,full,31376,Jacksonville State at Chicago State,Jacksonville State 71 - Chicago State 62,Jacksonville State,AWAY,-8.757474278215113,20.0,0.4759984758278545,0.8197666398497787,16.702707058515394,16.702707058515394,persistent,2.0,2.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
2020,2019-11-29,full,31417,Creighton at Texas Tech,Creighton 83 - Texas Tech 76,Texas Tech,HOME,-3.662169584284399,6.0,0.2828876764679559,0.6815606259639894,10.017743112879929,10.017743112879929,persistent,5.0,5.0,True,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-29,full,31405,Abilene Christian at SMU,Abilene Christian 51 - SMU 70,Abilene Christian,AWAY,12.016071714724887,16.0,0.12003389012520327,0.6291109121601983,7.256977151199521,7.256977151199521,persistent,3.0,3.0,False,False,False,raw edge + persistent disagreement support,loss,-1.0
2020,2019-11-29,full,31400,North Dakota at Florida Gulf Coast,North Dakota 78 - Florida Gulf Coast 63,North Dakota,AWAY,-0.6541441366225271,3.5,0.11497609312821733,0.6230894738655385,5.983464457946512,5.983464457946512,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
2020,2019-11-29,full,31403,Cal State Fullerton at Denver,Cal State Fullerton 62 - Denver 65,Cal State Fullerton,AWAY,-5.34703975373219,3.5,0.2616936509225083,0.6169945491897892,5.9502926500422335,5.9502926500422335,persistent,3.0,0.0,True,False,False,raw edge + persistent disagreement support,win,0.9090909090909091
