season,game_date,slice,gameId,game,final_score,pick_team,model_pick_side,hoops_edge_line_for_pick,market_line_for_pick,pick_prob_edge,disagreement_logit_score,he_market_edge_for_pick,abs_he_vs_market_edge,disagreement_context,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,is_conference_tournament,is_ncaa_tournament,signal_driver,bet_result,roi_per_1_at_minus_110
2020,2019-11-05,full,30061,Louisville at Miami,Louisville 87 - Miami 74,Miami,HOME,-28.811019135779787,6.5,0.44703840531370365,0.5974273028147813,5.042731743141701,5.042731743141701,new/transient,0.0,0.0,False,False,False,raw edge + new disagreement support,loss,-1.0
2020,2019-11-08,full,30328,Incarnate Word at Northern Colorado,Incarnate Word 61 - Northern Colorado 83,Northern Colorado,HOME,-16.06350310669825,-15.0,0.009565523270159026,0.6389152534231994,8.058052741552693,8.058052741552693,none,0.0,0.0,False,False,False,disagreement-led support,win,0.9090909090909091
2020,2019-11-08,full,30282,UMass Lowell at Long Island University,UMass Lowell 87 - Long Island University 74,Long Island University,HOME,-8.436359124909714,-4.5,0.0702907991926146,0.6262447871403225,7.094648225004268,7.094648225004268,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-08,full,30289,William & Mary at American University,William & Mary 79 - American University 70,American University,HOME,-7.666196060690169,-3.5,0.13526623024846507,0.5800180374148978,3.7699719204309856,3.7699719204309856,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-09,full,30377,Canisius at Brown,Canisius 68 - Brown 75,Brown,HOME,-11.609695392928842,-7.5,0.0775695085660505,0.5814691936945026,4.382397724276421,4.382397724276421,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-10,full,30412,UMass Lowell at Ohio State,UMass Lowell 56 - Ohio State 76,Ohio State,HOME,-26.10704846467081,-23.0,0.08249312231877659,0.5959175167855746,5.276024342491034,5.276024342491034,none,0.0,0.0,False,False,False,raw edge led,loss,-1.0
2020,2019-11-11,full,30452,Jacksonville at Bowling Green,Jacksonville 59 - Bowling Green 75,Bowling Green,HOME,-10.27315852855363,10.0,0.39907994017159776,0.7153513743531372,12.12628242542927,12.12628242542927,new/transient,0.0,0.0,True,False,False,raw edge + new disagreement support,win,0.9090909090909091
2020,2019-11-11,full,30453,Florida Gulf Coast at Dartmouth,Florida Gulf Coast 49 - Dartmouth 55,Dartmouth,HOME,-10.432763710852043,-8.5,0.04691751196899374,0.5956868244932021,5.338997049319747,5.338997049319747,none,0.0,0.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-12,full,30538,Miami at UCF,Miami 79 - UCF 70,UCF,HOME,0.5769705785422161,3.0,0.052040113045051295,0.7141385943200709,12.650173180479483,12.650173180479483,none,1.0,1.0,False,False,False,disagreement-led support,loss,-1.0
2020,2019-11-12,full,30489,Mississippi Valley State at Western Michigan,Mississippi Valley State 81 - Western Michigan 91,Mississippi Valley State,AWAY,20.175952797872156,28.5,0.18951713180591434,0.6280355400908479,5.874322879765614,5.874322879765614,none,0.0,0.0,False,False,False,raw edge led,win,0.9090909090909091
