signal_driver,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
disagreement-led new/transient,full,67,46,21,0,0.6865671641791045,0.3107191316146541,0.005018998392308858,0.03630274024515872,0.617250318509456,8.987459106697663,1.0,0.0,0.014925373134328358
disagreement-led new/transient,feb15_plus,0,0,0,0,,,,,,,,,
disagreement-led new/transient,march_only,0,0,0,0,,,,,,,,,
disagreement-led new/transient,conference_tournaments,0,0,0,0,,,,,,,,,
disagreement-led new/transient,ncaa_tournament,0,0,0,0,,,,,,,,,
disagreement-led new/transient conf-tourney,full,10,6,4,0,0.6,0.14545454545454542,0.43675885863465735,0.013376174422468568,0.6964697197399724,1.3041645410155147,1.0,0.0,0.8
disagreement-led new/transient conf-tourney,feb15_plus,10,6,4,0,0.6,0.14545454545454542,0.43675885863465735,0.013376174422468568,0.6964697197399724,1.3041645410155147,1.0,0.0,0.8
disagreement-led new/transient conf-tourney,march_only,10,6,4,0,0.6,0.14545454545454542,0.43675885863465735,0.013376174422468568,0.6964697197399724,1.3041645410155147,1.0,0.0,0.8
disagreement-led new/transient conf-tourney,conference_tournaments,10,6,4,0,0.6,0.14545454545454542,0.43675885863465735,0.013376174422468568,0.6964697197399724,1.3041645410155147,1.0,0.0,0.8
disagreement-led new/transient conf-tourney,ncaa_tournament,0,0,0,0,,,,,,,,,
disagreement-led persistent,full,524,301,223,0,0.5744274809160306,0.09663428174878556,0.01128180414635464,0.03520348350448387,0.6041781353737224,6.57935468783111,0.0,1.0,0.1965648854961832
disagreement-led persistent,feb15_plus,79,49,30,0,0.620253164556962,0.18411967779056387,0.05377670091978759,0.03810696188157251,0.5939133062469478,5.260176358317677,0.0,1.0,0.2911392405063291
disagreement-led persistent,march_only,43,25,18,0,0.5813953488372093,0.10993657505285409,0.2738984663250704,0.04345112121358886,0.5942245386838728,4.910541247604371,0.0,1.0,0.5348837209302325
disagreement-led persistent,conference_tournaments,25,16,9,0,0.64,0.2218181818181818,0.1679412308709444,0.045963850126725075,0.5971018001203138,4.349578216537649,0.0,1.0,0.92
disagreement-led persistent,ncaa_tournament,0,0,0,0,,,,,,,,,
disagreement-led support,full,588,347,241,0,0.5901360544217688,0.1266233766233766,0.0007132897371394275,0.03481231331157558,0.602884621873321,5.982719170128375,0.0,0.0,0.17006802721088435
disagreement-led support,feb15_plus,82,43,39,0,0.524390243902439,0.0011086474501108745,0.540491465650778,0.0356630746048142,0.5928470927636817,4.340057986913722,0.0,0.0,0.24390243902439024
disagreement-led support,march_only,33,22,11,0,0.6666666666666666,0.2727272727272727,0.06990196389892334,0.03188013652146734,0.5921749105224365,4.546048704407775,0.0,0.0,0.6060606060606061
disagreement-led support,conference_tournaments,20,16,4,0,0.8,0.5272727272727271,0.01049900622049623,0.03482135204800156,0.5899186124423664,4.406766263948354,0.0,0.0,0.95
disagreement-led support,ncaa_tournament,0,0,0,0,,,,,,,,,
raw edge + new disagreement support,full,122,87,35,0,0.7131147540983607,0.3614008941877794,1.5401404384353725e-05,0.181117727448317,0.6467063752474981,7.931762339098211,1.0,0.0,0.1721311475409836
raw edge + new disagreement support,feb15_plus,6,4,2,0,0.6666666666666666,0.2727272727272727,0.38938593247093456,0.11670280967289819,0.7311918203525015,1.6960965269201667,1.0,0.0,1.0
raw edge + new disagreement support,march_only,6,4,2,0,0.6666666666666666,0.2727272727272727,0.38938593247093456,0.11670280967289819,0.7311918203525015,1.6960965269201667,1.0,0.0,1.0
raw edge + new disagreement support,conference_tournaments,6,4,2,0,0.6666666666666666,0.2727272727272727,0.38938593247093456,0.11670280967289819,0.7311918203525015,1.6960965269201667,1.0,0.0,1.0
raw edge + new disagreement support,ncaa_tournament,0,0,0,0,,,,,,,,,
raw edge + persistent disagreement support,full,654,376,278,0,0.5749235474006116,0.09758131776480401,0.004889483008477011,0.15014169421240534,0.6140666336651972,6.2866184311193045,0.0,1.0,0.1437308868501529
raw edge + persistent disagreement support,feb15_plus,67,38,29,0,0.5671641791044776,0.08276797829036636,0.2787813241180187,0.13198949763825701,0.5951108817124822,4.729923837770673,0.0,1.0,0.2835820895522388
raw edge + persistent disagreement support,march_only,27,13,14,0,0.48148148148148145,-0.08080808080808081,0.7368500752581872,0.13705694702155083,0.5947534408557765,3.869333699292849,0.0,1.0,0.7037037037037037
raw edge + persistent disagreement support,conference_tournaments,22,9,13,0,0.4090909090909091,-0.21900826446280988,0.9017514157915658,0.13769111772460826,0.5936502631826217,3.581909252474148,0.0,1.0,0.8636363636363636
raw edge + persistent disagreement support,ncaa_tournament,0,0,0,0,,,,,,,,,
raw edge led,full,833,506,327,0,0.6074429771908764,0.15966386554621848,7.124795664954705e-07,0.16579093260664637,0.6111958668922732,4.918616930832169,0.0,0.0,0.16926770708283315
raw edge led,feb15_plus,91,51,40,0,0.5604395604395604,0.06993006993006994,0.2765048570617408,0.14433112810288729,0.5938950030167615,3.914479129017787,0.0,0.0,0.23076923076923078
raw edge led,march_only,37,23,14,0,0.6216216216216216,0.18673218673218672,0.15223741191752818,0.14137246788728916,0.5957446878299925,3.691071755150952,0.0,0.0,0.5675675675675675
raw edge led,conference_tournaments,22,14,8,0,0.6363636363636364,0.21487603305785122,0.20004951656691206,0.1322304693847332,0.6001535143998864,3.838715963353802,0.0,0.0,0.9545454545454546
raw edge led,ncaa_tournament,0,0,0,0,,,,,,,,,
