season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,211904,2026-02-26,2026-02-27 03:00:00+00:00,feb15_plus,UC San Diego,Cal State Bakersfield,-14.5,17.617,HOME,0.587,0.064,0.508,0.843,0.335,True,persistent,27.026,27.026,5,25,False,disagreement-led persistent,decision-useful internal candidate
2026,211906,2026-02-26,2026-02-27 02:00:00+00:00,feb15_plus,Montana,Sacramento State,-7.75,10.083,HOME,0.583,0.059,0.505,0.696,0.191,True,persistent,14.194,14.194,5,9,False,disagreement-led persistent,decision-useful internal candidate
2026,211926,2026-02-26,2026-02-27 00:30:00+00:00,feb15_plus,Middle Tennessee,UTEP,-8.5,10.038,HOME,0.544,0.02,0.495,0.655,0.16,True,persistent,10.746,10.746,5,23,False,disagreement-led persistent,decision-useful internal candidate
2026,211893,2026-02-26,2026-02-26 23:00:00+00:00,feb15_plus,UMBC,Bryant,-10.5,10.509,HOME,0.5,-0.024,0.485,0.642,0.157,True,persistent,10.666,10.666,5,21,False,disagreement-led persistent,decision-useful internal candidate
2026,211921,2026-02-26,2026-02-27 02:00:00+00:00,feb15_plus,Utah Tech,Abilene Christian,-2.25,4.502,HOME,0.574,0.051,0.503,0.633,0.13,True,persistent,9.415,9.415,5,13,False,disagreement-led persistent,decision-useful internal candidate
2026,211901,2026-02-26,2026-02-27 00:00:00+00:00,feb15_plus,Chattanooga,UNC Greensboro,-4.5,5.146,HOME,0.525,0.002,0.494,0.621,0.127,True,none,9.245,9.245,0,0,False,disagreement-led support,decision-useful internal candidate
2026,211922,2026-02-26,2026-02-27 00:00:00+00:00,feb15_plus,Jacksonville State,Delaware,-7.75,9.251,HOME,0.551,0.027,0.498,0.619,0.121,True,none,9.219,9.219,0,0,False,disagreement-led support,decision-useful internal candidate
2026,211925,2026-02-26,2026-02-27 02:00:00+00:00,feb15_plus,Sam Houston,Florida International,-6.25,7.575,HOME,0.549,0.026,0.498,0.61,0.112,True,persistent,7.515,7.515,4,23,False,disagreement-led persistent,decision-useful internal candidate
2026,211917,2026-02-26,2026-02-27 01:00:00+00:00,feb15_plus,Little Rock,Morehead State,-2.5,-0.026,AWAY,0.604,0.08,0.502,0.6,0.099,True,persistent,5.718,5.718,7,24,False,disagreement-led persistent,decision-useful internal candidate
2026,211924,2026-02-26,2026-02-27 00:30:00+00:00,feb15_plus,Louisiana Tech,Missouri State,-2.25,-0.061,AWAY,0.593,0.069,0.5,0.595,0.095,True,none,5.988,5.988,0,0,False,disagreement-led support,decision-useful internal candidate
2026,211916,2026-02-26,2026-02-27 01:30:00+00:00,feb15_plus,Southeast Missouri State,Tennessee State,-3.5,1.642,AWAY,0.571,0.047,0.496,0.587,0.091,True,none,5.144,5.144,1,1,False,disagreement-led support,decision-useful internal candidate
2026,358982,2026-02-26,2026-02-27 00:00:00+00:00,feb15_plus,Florida Atlantic,Temple,-4.0,8.35,HOME,0.638,0.114,0.519,0.656,0.137,False,persistent,10.186,10.186,4,24,False,raw edge + persistent disagreement support,decision-useful internal candidate
2026,211909,2026-02-26,2026-02-27 00:00:00+00:00,feb15_plus,Jacksonville,Stetson,-6.75,10.11,HOME,0.621,0.097,0.513,0.651,0.138,False,none,11.257,11.257,0,0,False,raw edge led,decision-useful internal candidate
2026,215104,2026-02-26,2026-02-27 02:30:00+00:00,feb15_plus,Prairie View A&M,Jackson State,-4.25,7.252,HOME,0.608,0.084,0.51,0.586,0.076,False,persistent,7.368,7.368,6,23,False,raw edge + persistent disagreement support,decision-useful internal candidate
