season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
2026,372218,2026-03-06,2026-03-06 17:00:00+00:00,conference_tournaments,Central Arkansas,Bellarmine,-6.75,5.504,AWAY,0.547,0.023,0.505,0.266,-0.239,False,persistent,-13.786,13.786,6,28,True,below internal threshold,below internal threshold,False,False
2026,372217,2026-03-06,2026-03-06 17:00:00+00:00,conference_tournaments,High Point,Gardner-Webb,-27.5,14.608,AWAY,0.848,0.324,0.595,0.081,-0.514,False,persistent,-32.931,32.931,6,28,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372226,2026-03-06,2026-03-06 18:00:00+00:00,conference_tournaments,Belmont,Drake,-12.5,6.462,AWAY,0.692,0.168,0.539,0.419,-0.121,False,persistent,-6.505,6.505,5,26,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372204,2026-03-06,2026-03-06 19:00:00+00:00,conference_tournaments,North Carolina A&T,Northeastern,2.25,-2.501,AWAY,0.508,-0.015,0.502,0.509,0.007,False,persistent,1.707,1.707,4,4,True,below internal threshold,below internal threshold,False,False
2026,372174,2026-03-06,2026-03-06 19:30:00+00:00,conference_tournaments,Winthrop,Charleston Southern,-6.5,3.488,AWAY,0.579,0.055,0.513,0.436,-0.077,False,none,-3.998,3.998,0,0,True,below internal threshold,below internal threshold,False,False
2026,372219,2026-03-06,2026-03-06 19:30:00+00:00,conference_tournaments,Lipscomb,Florida Gulf Coast,-4.0,2.687,AWAY,0.544,0.02,0.504,0.384,-0.12,False,none,-6.366,6.366,0,0,True,below internal threshold,below internal threshold,False,False
2026,372192,2026-03-06,2026-03-06 20:30:00+00:00,conference_tournaments,Murray State,UIC,1.25,2.848,HOME,0.611,0.087,0.522,0.514,-0.008,False,persistent,-1.384,1.384,4,28,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372175,2026-03-06,2026-03-06 22:00:00+00:00,conference_tournaments,Chattanooga,The Citadel,-7.5,6.639,AWAY,0.533,0.009,0.502,0.189,-0.313,False,persistent,-17.641,17.641,5,27,True,below internal threshold,below internal threshold,False,False
2026,372220,2026-03-06,2026-03-06 22:00:00+00:00,conference_tournaments,Austin Peay,Stetson,-11.75,5.288,AWAY,0.698,0.174,0.542,0.367,-0.175,False,persistent,-8.549,8.549,6,29,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372176,2026-03-06,2026-03-06 23:00:00+00:00,conference_tournaments,UNC Asheville,Longwood,1.5,-1.139,HOME,0.511,-0.013,0.494,0.502,0.008,False,persistent,0.145,0.145,2,2,True,below internal threshold,below internal threshold,False,False
2026,372227,2026-03-06,2026-03-06 23:00:00+00:00,conference_tournaments,Texas State,Southern Miss,-1.5,-0.228,AWAY,0.55,0.027,0.505,0.596,0.092,True,none,5.613,5.613,0,0,True,disagreement-led support,decision-useful internal candidate,True,False
2026,372228,2026-03-06,2026-03-06 23:00:00+00:00,conference_tournaments,Merrimack,Sacred Heart,-6.75,5.363,AWAY,0.546,0.022,0.504,0.347,-0.157,False,persistent,-8.796,8.796,6,29,True,below internal threshold,below internal threshold,False,False
2026,372229,2026-03-06,2026-03-07 00:00:00+00:00,conference_tournaments,Bradley,Valparaiso,-5.25,3.956,AWAY,0.539,0.015,0.502,0.542,0.04,False,persistent,1.099,1.099,6,14,True,below internal threshold,below internal threshold,False,False
2026,372177,2026-03-06,2026-03-07 00:00:00+00:00,conference_tournaments,South Dakota,Omaha,1.75,0.482,HOME,0.578,0.054,0.511,0.463,-0.048,False,persistent,-2.575,2.575,4,23,True,below internal threshold,below internal threshold,False,False
2026,372221,2026-03-06,2026-03-07 00:30:00+00:00,conference_tournaments,Queens University,West Georgia,-8.5,3.914,AWAY,0.639,0.115,0.528,0.375,-0.153,False,persistent,-7.86,7.86,6,28,True,raw edge only / filtered out,raw-edge watchlist only,False,True
